,smiles,score,likelihood
58,[N+]1([O-])=C(c2ccccc2)CC(N2CCN(c3ccc(Cl)cc3)CC2)C1,1.0,-27.527222
55,c1c(N2CCN(CCCCCCc3c4c(ccc(F)c4)[nH]c3)CC2)cccc1F,1.0,-28.963104
54,c12cc(Cl)ccc1c(C1CN(CCCCCCN3CCC(c4c5ccccc5[nH]c4)CC3)CC1)c[nH]2,1.0,-35.728466
38,C1N(CCCCCN2CCC(c3c4c(cccc4)[nH]c3)CC2)CCN(c2ccc(F)cc2)C1,1.0,-25.897888
7,C1CN(CCCCCCN2CCC(c3c4ccccc4[nH]c3)CC2)CCN1c1cc(Cl)ccc1,1.0,-24.358976
51,CC1CN(CCCN2c3c(cccc3)CCc3ccccc32)CC(C)C1,1.0,-23.475164
49,N1(c2cc(Cl)ccc2)CCN(CCCCCc2c[nH]c3ccc(F)cc23)CC1,1.0,-24.995926
39,c12c(c(N3CCN(CCCCN4CCc5ccccc5C4=O)CC3)ccc1)ccc(F)c2,1.0,-26.137848
58,c1cccc(Cl)c1N1CCN(CCCCCCCCCCCCN2CCC(c3c4ccccc4[nH]c3)CC2)CC1,1.0,-32.32984
10,c1c(Cl)ccc2c(N3CCN(CCCCc4c[nH]c5ccc(F)cc45)CC3)ccnc12,1.0,-25.329376
7,C1N(c2cccc(Cl)c2Cl)CCN(CCCCOc2cc3c(cc2)CCC(=O)N3)C1,1.0,-17.6537
12,N1CC2(c3c1ccc(Cl)c3)CCN(CCCN1C(=O)CCc3c1cccc3)CC2,1.0,-31.438288
2,c1(N2CCN(CCCCc3c[nH]c4ccccc34)CC2)c(Cl)c(Cl)ccc1,1.0,-22.275383
39,c1c(F)ccc(F)c1N1CCN(CCCCc2c[nH]c3ccc(F)cc23)CC1,1.0,-27.512632
6,N1(c2cccc(Cl)c2Cl)CCN(CCCCCCCN2CCN(c3ccccc3)CC2)CC1,1.0,-23.293308
46,C1N(CCCCC2CCCc3c2cccc3O)CCN(c2c(Cl)cccc2)C1,1.0,-25.748611
17,C1N(c2ccccn2)CCN(CCCCc2c[nH]c3c2cc(F)cc3)C1,1.0,-22.314802
63,c1cc(Cl)cc2c3c(ccc12)CC(N(CCC)CCCCN1CCN(c2ccc(F)cc2)CC1)CC3,1.0,-33.46492
55,Clc1ccc(N2CCN(CCCCc3c4c(ccc(-n5cnnc5)c4)[nH]c3)CCC2)c(Cl)c1,1.0,-30.24703
16,C1N(CCCN2CCN(c3cccc(Cl)c3Cl)CC2)CCN(c2ccc(F)cc2)C1,1.0,-22.636497
