Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
47.0,C1=CC(c2ccccc2)CC=N1,COC(=O)C1C(C)=NC(C)=C(C(=O)O)C1c1cccc(O)c1,1.0,1.0,1.0,fine-tune predictive component HITL_0
10.0,O=c1c2c(oc3ccccc13)C1Cc3ccccc3C2C1,COc1cc(C)cc2c1CC1(C)CC2c2c1oc1ccc(C)cc1c2=O,1.0,1.0,1.0,fine-tune predictive component HITL_1
13.0,O=C(NCCc1c[nH]cn1)c1ccc2ncn(Cc3ccc(-c4ccccc4)cc3)c2c1,CCCc1nc2c(C)cc(C(=O)NCCc3c[nH]cn3)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_2
35.0,O=C(COc1cccc(C2C=CN=CC2)c1)Nc1ccccc1N1CCNCC1,CCOC(=O)C1=C(C)N=C(C)C(C(=O)OCC)C1c1cccc(OCC(=O)Nc2ccccc2N2CCN(C)CC2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_3
5.0,N=c1sccn1N=Cc1ccccc1,N=c1scc(O)n1N=Cc1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_4
32.0,c1ccc2c(c1)CC1c3ccccc3CCN1C2,OCC1c2cc(O)c(O)cc2CN2CCc3cc(O)c(O)cc3C12,1.0,1.0,1.0,fine-tune predictive component HITL_5
22.0,C(=NN=c1cc[nH]c2ccccc12)c1ccc2c(c1)OCO2,FC(F)(F)c1cc(=NN=Cc2ccc3c(c2)OCO3)c2ccccc2[nH]1,1.0,1.0,1.0,fine-tune predictive component HITL_6
27.0,O=C(Nc1ccccc1)Nc1cccc(OC2CCN(C3CCCC3)CC2)c1,O=C(Nc1ccccc1)Nc1cc(OC2CCN(C3CCCC3)CC2)cc(C(F)(F)F)c1,1.0,1.0,1.0,fine-tune predictive component HITL_7
43.0,O=C(c1ccc2ccccc2c1)N1CCN(c2ccc3c(c2)CCCN3C(=O)c2ccccc2)CC1,O=C(c1ccc2ccccc2c1)N1CCN(c2ccc3c(c2)CCCN3C(=O)c2cccc(Cl)c2Cl)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_8
31.0,O=C1NCCc2c1ccn2C1CCNCC1,Cc1cc2c(n1C1CCN(C)CC1)CCN(C)C2=O,1.0,1.0,1.0,fine-tune predictive component HITL_9
40.0,O=S(=O)(Nc1ccc2c(c1)NCCC2)c1ccccc1,Cc1c(NS(=O)(=O)c2ccc(C#N)cc2)ccc2c1NCCC2,1.0,1.0,1.0,fine-tune predictive component HITL_10
12.0,c1ccc(C2CCCC2N2CCN(c3ccccc3)CC2)cc1,OC1(c2ccccc2)CCCC1N1CCN(c2ccccc2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_11
7.0,c1ccc(N=c2[nH]n3cnnc3c3ccccc23)cc1,CCc1nnc2c3ccccc3c(=Nc3cccc(Cl)c3)[nH]n12,1.0,1.0,1.0,fine-tune predictive component HITL_12
15.0,C(=Cc1ccccc1)CNCCCc1ccccc1,N=C(N)c1ccc(C=CCNCCCc2cccc(F)c2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_13
21.0,c1ccccc1,CC[N+](C)(C)CC#Cc1ccccc1CCCCBr,1.0,1.0,1.0,fine-tune predictive component HITL_14
2.0,c1ccc(-c2cc3ncnc(=NC4CCCC4)n3[nH]2)cc1,CCCc1nc(=NC2CCCC2)n2[nH]c(-c3ccccc3)cc2n1,1.0,1.0,1.0,fine-tune predictive component HITL_15
16.0,O=C(CCC1CC2CC3CCC3CC2C1)N1c2ccccc2CC1c1ccccc1,CC(C)CC(=O)OC1CC2CC3CC(CCC(=O)N4c5ccccc5CC4c4ccccc4)CC3CC21,1.0,1.0,1.0,fine-tune predictive component HITL_16
1.0,O=C(N=c1cc(C(=O)NCc2ccncc2)[nH]n1-c1ccccc1)c1cccc(-c2ccccn2)c1,CN(C)c1cc(CNC(=O)c2cc(=NC(=O)c3cc(-c4ncccc4F)ccc3Cl)n(-c3ccccc3)[nH]2)ccn1,1.0,1.0,1.0,fine-tune predictive component HITL_17
28.0,C(#Cc1cccc(-c2cnn3cccnc23)c1)c1ccccc1,COc1cc(C(F)(F)F)nc2c(-c3cccc(C#Cc4cccc(F)c4)c3)c(C)nn12,1.0,1.0,1.0,fine-tune predictive component HITL_18
20.0,O=C(NCCN1CCCCCC1)c1cnnn1Cc1ccccc1,O=C(NCCN1CCCCCC1)c1cnnn1Cc1ccccc1,1.0,1.0,1.0,fine-tune predictive component HITL_19
44.0,O=c1ccc(-c2ccccc2)nn1CCN1CCN(c2ccccc2)CC1,O=c1ccc(-c2ccccc2)nn1CCN1CCN(c2cccc(Cl)c2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_20
34.0,S=c1oc(-c2ccncc2)nn1CN1CCN(Cc2ccc3c(c2)OCO3)CC1,S=c1oc(-c2ccncc2)nn1CN1CCN(Cc2ccc3c(c2)OCO3)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_21
19.0,O=C(N1CCNCC1)N1C2C=C(c3ccccc3)CC1CC2,CCN1CCN(C(=O)N2C3CCC2C(C(=O)OC)=C(c2ccc(Cl)cc2Cl)C3)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_22
4.0,c1ccc2c(c1)CCN(c1cnc(-n3cccn3)nn1)C2,CCOC(=O)CCc1c(C)nn(-c2nnc(N3CCc4ccccc4C3)c(C)n2)c1C,1.0,1.0,1.0,fine-tune predictive component HITL_23
11.0,c1ccc(CN2CCC(c3ccccn3)CC2)cc1,OC1(c2ccccn2)CCN(Cc2ccc(Cl)c(Cl)c2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_24
3.0,O=c1[nH]ccc2c1C(c1ccccc1)CN=c1ccsc1=N2,CCc1cc2c(s1)=Nc1cc(C)n(CCCO)c(=O)c1C(c1ccc(C)cc1)C(C(=O)OC)N=2,1.0,1.0,1.0,fine-tune predictive component HITL_25
37.0,O=C(CSc1ncc(-c2ccccc2)n1-c1ccccc1)N1CCOCC1,NC(=O)c1nc(SCC(=O)N2CCOCC2)n(-c2ccccc2)c1-c1ccc(Cl)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_26
30.0,c1ccc(CCN=c2ccnc3[nH]c4ccccc4n23)cc1,Cc1nc2[nH]c3ccccc3n2c(=NCCc2ccc(F)cc2)c1CN,1.0,1.0,1.0,fine-tune predictive component HITL_27
18.0,O=C(CSCc1nc(=O)c2nnn(Cc3ccccc3)c2[nH]1)Nc1ccccc1,CN(C)c1ccc(NC(=O)CSCc2nc(=O)c3nnn(Cc4ccccc4)c3[nH]2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_28
29.0,c1ccc(CCNc2c(-c3nc4ccccc4[nH]3)nc3ccccn23)cc1,Cc1ccc2[nH]c(-c3nc4ccccn4c3NCCc3ccccc3)nc2c1,1.0,1.0,1.0,fine-tune predictive component HITL_29
39.0,O=C(Nc1ccccc1)c1c[nH]nc1-n1cc2n(c1=O)C(c1ccco1)c1[nH]c3ccccc3c1C2,Cc1ccc(C2c3[nH]c4ccccc4c3Cc3c(O)n(-c4nn(C)cc4C(=O)Nc4ccccc4Cl)c(=O)n32)o1,1.0,1.0,1.0,fine-tune predictive component HITL_30
46.0,c1cc(N2CCCC2)nc(-n2ncc3cnc(-n4cnc5ncccc54)cc32)c1,CC(=O)NCC1CCN(c2ccc(F)c(-n3ncc4cnc(-n5cnc6ncccc65)cc43)n2)C1,1.0,1.0,1.0,fine-tune predictive component HITL_31
48.0,O=C(Nc1cccc(Nc2ccc3[nH]c(=O)[nH]c3c2)c1)c1ccccc1,O=C(Nc1cccc(Nc2ccc3[nH]c(=O)[nH]c3c2)c1)c1cccc(C(F)(F)F)c1,1.0,1.0,1.0,fine-tune predictive component HITL_32
