,smiles,score,likelihood
27,c12c(oc(=Nc3cc(Cl)ccc3)[nH]1)cccc2,1.0,-20.612183
20,Clc1ccc(N2C(c3sc(C)cc3)N(c3ccc(N(C)C)cc3)C(=O)C2)cc1,1.0,-28.813026
23,C(C1C(C)=Nc2nc(CCCO)nn2C1c1ccccc1)(Nc1ccc(F)cc1)=O,1.0,-25.857864
5,c1c(N=c2[nH]ccc(Oc3ccc4c(C(Nc5cc(OC)c(OC)c(OC)c5)=O)cccc4c3)n2)ccc(C#N)c1,1.0,-26.65086
1,C(COc1ccccc1N=c1c2c([nH]cn1)c(F)c1ncc(=O)[nH]c1c2)N1CCOCC1,1.0,-39.45894
10,c1[nH]c(=Nc2ccc(F)cc2)[nH]c(=NC(C)(C)C)n1,1.0,-20.45499
6,C1(NC(=O)c2ccc(N=c3[nH]cc(C(F)(F)F)c(Oc4c5c(ccc4)OCCO5)n3)c(OC)c2)CCN(C)CC1,1.0,-21.639805
25,C=CCN=c1[nH]ncc(-c2c(OC)cccc2O)n1,1.0,-27.356258
5,c12nc(C)oc1cc(C(=O)NC1(C(=O)Nc3cc4c(cc3)OCC(=O)N4)cccc1)cc2,1.0,-33.26777
22,c1cccc(C(c2[nH]c3c(CC)cccc3c2CNCCCCCCN)c2ccccc2)c1,1.0,-37.56518
0,Oc1c2c(cccc2)n(Cc2nc3n(C)c(=O)[nH]c(=O)c3n2Cc2ccc(F)cc2)c1O,1.0,-34.90851
23,c1(Cc2n[nH]c(=Nc3ccc(C(=O)N4CCN(c5ccccc5)CC4)cc3)c3ccccc23)c(Cl)cccc1F,1.0,-33.586205
2,c1cc2c(=O)c(C(=O)c3c(O)ccc4oc5c(c(OC)cc(OC)c5)c(=O)c43)cn(Cc3ccc(Cl)cc3)c2cc1,1.0,-40.158615
11,C(N1CCc2cc(Cl)ccc2C1)CNC(N1Cc2c(cccc2)C1)=O,1.0,-27.542631
15,c1c(Cn2c3ccc(C(NC(C)c4ccccc4)=O)cc3c(C)c2C)ccc(-c2ccccc2C(N=c2[nH][nH]nn2)=O)c1,1.0,-26.746563
6,c1c(C(F)(F)F)cc(NC(Nc2cc(C(F)(F)F)cc(NCCN(C)C)c2)=O)c(Oc2cccc(C(C)(C)C)c2)c1,1.0,-32.3952
24,c1(C(C)(C)C)ccc(-c2c3ccccc3c(=O)n(CCCCCN(C)C)n2)cc1,1.0,-29.717161
23,c1(NC(=O)N=c2cc(C(C)(C)C)[nH]n2-c2ccccc2)cc2c(Cl)c(C(=O)O)oc2cc1,1.0,-29.76734
25,c12oc(=O)cc(CC)c1ccc(NS(c1ccccc1NCCCN(C)C)(=O)=O)c2,1.0,-28.665358
5,c1c(C#Cc2c(-c3cc(F)c(C(N4CCOCC4)=O)cc3)ncnc2CC)ccc(=N)[nH]1,1.0,-18.54351
