Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
172.0,c1ccc(N2CCN(CCCN3CCN(c4ccccc4OC4CCN(CCN5CCCC5)CC4)CC3)CC2)cc1,Fc1ccc(N2CCN(CCCN3CCN(c4cc(Cl)ccc4Cl)CC3)CC2)c(OC2CCN(CCN3CCCC3)CC2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_0
186.0,c1ccc(N2CCN(CCCCCCNCCN3CCN(CCCN4CC5CCc6ccccc6C5C4)CC3)CC2)cc1,COc1ccc2c(c1)C1CN(CCCN3CCN(CCNCCCCCCN4CCN(c5ccccc5OC)CC4)CC3)CC1CC2,1.0,1.0,1.0,fine-tune predictive component HITL_1
22.0,O=C1N(CCCCN2CCN(c3ccccn3)CC2)CCC12CCCC1=C(S2)C(=Cc2ccccc2)CC1,CN(C)C(=O)c1cccc(N2CCN(CCCCN3CCC4(CCCC5=C(S4)C(=Cc4ccccc4)CC5)C3=O)CC2)n1,1.0,1.0,1.0,fine-tune predictive component HITL_2
58.0,c1ccc(N2CCN(CCCCCN3c4ccccc4CCc4ccccc43)CC2)cc1,Clc1cccc(N2CCN(CCCCCN3c4ccccc4CCc4ccccc43)CC2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_3
34.0,c1ccc2sc(C3CCN(C4CCCC4)CC3)cc2c1,c1ccc2sc(C3CCN(C4CCCC4)CC3)cc2c1,1.0,1.0,1.0,fine-tune predictive component HITL_4
107.0,c1ccc(N2CCN(CCCCCN3CCN(c4ccccc4)CC3)CC2)cc1,COc1ccccc1N1CCN(CCCCCN2CCN(c3ccccc3)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_5
92.0,O=C1c2ccccc2C(=O)N1CCCCCN1CCN(c2ccccc2)CC1,O=C1c2ccccc2C(=O)N1CCCCCN1CCN(c2ccc(Cl)cc2Cl)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_6
106.0,c1ccc(CN2CCN(CCCOc3ccccc3)CC2)cc1,Fc1ccc(OCCCN2CCN(Cc3ccc(Cl)cc3)CC2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_7
167.0,c1ccc(N2CCN(CCCN3CCN(CCOc4ccc5c(c4)CCC5)CC3)CC2)cc1,COc1ccccc1N1CCN(CCCN2CCN(CCOc3ccc4c(c3)CCC4)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_8
59.0,O=C1c2ccccc2C(=O)N1CCCCCN1CCN(c2ccc3ncccc3n2)CC1,O=C1c2ccccc2C(=O)N1CCCCCN1CCN(c2ccc3ncccc3n2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_9
14.0,c1ccc(OC2Cc3ccccc3CC2N2CCNCC2)nc1,OCCN1CCN(C2Cc3cc(F)ccc3CC2Oc2ccccn2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_10
