Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
16.0,O=C(COc1ccccc1)NCCN1C=NCC1c1ccccc1,N#Cc1cccc(OCC(=O)NCCN2C(N)=NCC2c2ccc(F)cc2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_0
45.0,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4occc4cc3-c3ccccc3)cc2)CC1,COC(=O)c1cc2cc(-c3ccccc3)c(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)nc2o1,1.0,1.0,1.0,fine-tune predictive component HITL_1
32.0,O=C1NC2(CCc3ccccc3C2)C(=O)N1CC(=O)N1N=C(c2ccccc2)CC1c1cccc2ccccc12,O=C1NC2(CCc3ccccc3C2)C(=O)N1CC(=O)N1N=C(c2ccccc2O)CC1c1cccc2ccccc12,1.0,1.0,1.0,fine-tune predictive component HITL_2
15.0,O=C(Oc1cccc2cc3[n+](cc12)CCc1cc2c(cc1-3)OCO2)c1ccc2ccccc2c1,COc1ccc2ccc(C(=O)Oc3c(OC)ccc4cc5[n+](cc34)CCc3cc4c(cc3-5)OCO4)cc2c1,1.0,1.0,1.0,fine-tune predictive component HITL_3
24.0,c1ccc(NC2=NCCN2)cc1,CC1CN=C(Nc2cccc(SC(F)(F)F)c2)N1,1.0,1.0,1.0,fine-tune predictive component HITL_4
43.0,O=c1[nH]c2ccccc2n1C1CCN(C2CCNC2)CC1,CC(C)(C)OC(=O)N1CCC(N2CCC(n3c(=O)[nH]c4cc(C#N)ccc43)CC2)C1,1.0,1.0,1.0,fine-tune predictive component HITL_5
5.0,N=c1cncc(-c2cc(=NC(=O)Nc3ccccc3)[nH]c3ccccc23)[nH]1,N=c1cncc(-c2cc(=NC(=O)Nc3cc(F)cc(F)c3)[nH]c3ccccc23)[nH]1,1.0,1.0,1.0,fine-tune predictive component HITL_6
44.0,O=c1c2ccc(N3CCNCC3)nc2[nH]c(=S)n1Cc1ccccc1,CN1CCN(c2ccc3c(=O)n(Cc4ccc(F)cc4)c(=S)[nH]c3n2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_7
31.0,O=C(c1c(C=Cc2ccccc2)n(CCCn2ccnc2)c2ccccc12)c1cccc2ccc3ccccc3c12,CN(C)c1ccc(C=Cc2c(C(=O)c3c(O)ccc4ccc5ccccc5c34)c3ccccc3n2CCCn2ccnc2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_8
17.0,O=C(c1ccc2c(c1)CCO2)c1cc[nH]c1-c1ccccc1,COc1ccc(-c2c(C(=O)c3ccc4c(c3)CC(C)O4)c(O)c(O)n2CCCN(C)C)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_9
4.0,c1cc(N=c2cc[nH]c3ccccc23)cc(C2CC2)c1,Cc1cc(=Nc2cccc(C3CC3C(=O)NCC#N)c2)c2ccc(C(F)(F)F)cc2[nH]1,1.0,1.0,1.0,fine-tune predictive component HITL_10
42.0,N=c1cc(-c2ccccc2)[nH]c2ccccc12,COC(=O)c1c(-c2ccc(F)cc2)[nH]c2ccccc2c1=N,1.0,1.0,1.0,fine-tune predictive component HITL_11
30.0,N=c1[nH]cnc2c1ncn2C1CCCO1,N=c1[nH]c(F)nc2c1ncn2C1CC(O)C(CO)O1,1.0,1.0,1.0,fine-tune predictive component HITL_12
3.0,O=C(Nc1cccc(S(=O)(=O)N2CCCCCC2)c1)C1CCCN1S(=O)(=O)c1ccccc1,Cc1ccc(S(=O)(=O)N2CCCC2C(=O)Nc2cc(S(=O)(=O)N3CCCCCC3)ccc2Cl)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_13
46.0,O=C(Nc1ccccc1)c1conc1-c1ccccc1,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Nc1ccc(N(C)C)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_14
20.0,c1ccc(Cn2cnc3ccccc32)cc1,CN(C)CCc1nc2cc(C=CC(O)=NO)ccc2n1Cc1ccc(Cl)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_15
47.0,O=c1c(=O)n(-c2ccccc2)[nH]c2ccccc12,CCOC(=O)c1ccc2[nH]n(-c3ccccc3Cl)c(=O)c(=O)c2c1,1.0,1.0,1.0,fine-tune predictive component HITL_16
2.0,O=C(NCc1cccs1)c1ccco1,Cc1ccc(C(=O)NC(CC(=O)O)c2cccs2)o1,1.0,1.0,1.0,fine-tune predictive component HITL_17
23.0,O=C1Nc2ccccc2C1=Cc1ccc(C(=O)NOCc2ccccc2)o1,O=C1Nc2ccccc2C1=Cc1ccc(C(=O)NOCc2ccccc2)o1,1.0,1.0,1.0,fine-tune predictive component HITL_18
29.0,O=C(Nc1cccc(C(=O)Nc2c[nH]c(C(=O)Nc3cc[nH]c3)c2)c1)c1ccccc1,Cc1ccc(NC(=O)c2cccc(OCCOCCO)c2)cc1C(=O)Nc1cc(C(=O)Nc2cc(C(=O)NCCCN(C)C)n(C)c2)n(C)c1,1.0,1.0,1.0,fine-tune predictive component HITL_19
