,smiles,score,likelihood
44,c1c(CN2CCNCC2)cccc1Sc1c(CN(C)C)cccc1,1.0,-26.146694
49,C1CN(CCN2CC(N3CCN(c4c(OC)cccc4)CC3)CCC2)CCN1CCCCN1C(=O)CCc2c1ccc(F)c2,1.0,-49.669937
56,c1c2c(cc(Cl)c1)C1N(CCN(CCCCN3CCN(c4ccccc4OC)CC3)CC1)CC2,1.0,-35.786293
46,N(C1CCN(CCCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1)C1CCN(CCCNC(=O)c2ccc(Cl)c(Cl)c2)CC1,1.0,-46.22901
0,Fc1c(F)ccc(C(=O)NCCCCN2CCN(c3c(Cl)c(Cl)ccc3)CC2)c1,1.0,-23.900312
18,N1(CCCCN2C(=O)CCc3cc(F)ccc32)CCN(c2cccc(Cl)c2Cl)CC1,1.0,-25.16809
36,C1CN(CCCN2CCC(N3CCN(CCOC(c4ccc(F)cc4)c4ccc(F)cc4)CC3)CC2)CCC1c1cccc(Cl)c1,1.0,-42.46673
1,Clc1cc(N2CCN(CCCCN3C(=O)CCc4c3cccc4)CC2)c(Cl)cc1,1.0,-26.126637
3,C1CC(NC(=O)C2CN(CCCN3CCN(c4c(Cl)cccc4)CC3)CCC2)CCN1Cc1ccc(Cl)cc1,1.0,-36.102333
55,C1CC(NCCCCCN2CCN(c3ccccc3OC)CC2)Cc2ccccc21,1.0,-25.708813
12,C1(c2c3cc(F)ccc3[nH]c2)CCN(CCCN2c3ccc(Cl)cc3CCc3cc(F)ccc32)CC1,1.0,-33.265182
37,c1ccc(N2CCN(CCCOc3ccc(Cl)cc3Cl)CC2)c(Cl)c1,1.0,-25.348564
63,c1c2c(ccc1OCCCN1CCN(c3cccc(Cl)c3Cl)CC1)CN(C1CC1)CC2,1.0,-29.026875
19,C1N(CCCN2CCN(C3CCN(C)CC3)CC2)C(c2ccc(Cl)c(Cl)c2)CN(C2CCN(Cc3ccc(Cl)cc3)CC2)C1=O,1.0,-40.21496
36,c1(C#N)ccccc1N1CCN(CCCN2c3c(cccc3)CCc3ccc(Cl)cc32)CC1,1.0,-29.375982
31,N(CCCCCN1CCN(c2ccccc2OC)CC1)C(c1ccc(F)c(Cl)c1)=O,1.0,-28.859673
20,c12c(=NCCCCCCN3CCN(CCCNCCCCCCN4CCN(c5ccccc5OC)CC4)CC3)cc[nH]c1cc(Cl)cc2,1.0,-36.50583
16,C1N(CCN2CCN(C3c4ccc(Cl)cc4Cc4ccc(Cl)cc43)CC2)CCN(c2ccccc2OC)C1,1.0,-29.446827
5,CCN1CC2CCC3C1(C2)CN(CCCCN1CCN(c2c(Cl)cccc2)CC1)CC3c1cccc(Cl)c1,1.0,-52.265923
44,N(CC1CN(CCCN2CCN(c3ccccc3OC)CC2)CC1)C(=O)c1ccc(Cl)c(Cl)c1,1.0,-37.78649
