,smiles,score,likelihood
31,N1(Cc2n(CC)c(C3CCN(S(=O)(c4ccc(OC)c(OC)c4)=O)CC3)nn2)CCCCC1,0.96875,-28.678354
7,c1cc(F)ccc1C1CC(C)(CC(=O)O)C(=O)N(C(CC)CNS(=O)(c2c(Cl)cc(Cl)cc2)=O)C1c1ccc(Cl)cc1,0.96875,-30.446043
12,C(N1Cc2c(cccc2)C1)C([N+](=O)[O-])=O,0.96875,-27.94443
31,Oc1cc2c(cc1)-c1c(c(-c3cc(OC)c(OC)cc3)c3c(n1)ccc(F)c3)C2(O)CC,0.96875,-42.481857
11,c1c2c(c(OC)cc1C(F)(F)F)CC1(CCC(OC)CC1)C21N=C(N)N(C)C1=O,0.9655172,-29.396938
28,c1c(OC)c(CN(C2CCN(Cc3ccc(Cl)c(N)c3)CC2)C)ccc1,0.9375,-29.971556
16,c1c(F)c(Cn2cc(CNC34CC5CC(CC(C5)C3)C4)c3c2ccc(C)n3)c(F)cc1,0.9375,-34.10951
15,c1(C(=O)N(C(C)C)C(C)C)c(C=O)nn(-c2cc(C(F)(F)F)ccc2)c1,0.9375,-31.492409
26,Clc1cc(NC(C2(C(=O)Nc3ccc(N=c4[nH]c5c(o4)cc(S(=O)(CC)=O)cc5)cc3)CC2)=O)ccc1OCc1ccncc1,0.9375,-46.069077
6,C1CC(N(CCC)CCN2CCNCC2)CS1(=O)=O,0.9310345,-23.592802
2,O=c1c(C(O)=O)cn(C2CC2)c2cc(N3CC(CNC)CC3)c(F)cc21,0.90625,-19.767591
24,C1C2(CCN(c3nccnc3CC)C1)CCN(C(c1nccnc1)=O)CC2,0.90625,-27.427507
2,O=c1c(OCc2c(F)cccc2Cl)cccn1CC(=O)N(CCN(C)C)Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,0.90625,-32.556236
1,C(C1NCCN1C)(NCc1ccc(OCc2ccc(C(F)(F)F)cc2)nc1)=O,0.90625,-35.43564
9,c1c(S(NCCOc2[nH]cnc(=NC(c3ccccc3)c3ccccc3)c2)(=O)=O)ccc(C(C)(C)C)c1,0.8965517,-34.45619
27,c1(Oc2c(F)c(F)ccc2)c(=O)n(Cc2cccc3ccccc23)ncc1Cl,0.875,-24.67501
13,c1(S(=O)(=O)N=c2nc(C)o[nH]2)ccc2n(-c3ccccc3C)c(-c3ccccn3)nc2c1,0.875,-37.268738
23,C(COCCOCCOCCOCCOCCOCCOCC)OCCN,0.875,-21.97731
0,Cc1c(CN2CCCC3(N(S(C)(=O)=O)CCC3)C2)non1,0.875,-24.006947
10,C1(F)CC(C(O)=O)N(C(c2[nH]nc3c2ccc(C(C)C)c3)=O)C1,0.86206895,-37.004387
