Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
4.0,c1ccc2c(c1)CNC2,O=C(CN1Cc2ccccc2C1)[N+](=O)[O-],0.96875,0.96875,0.96875,fine-tune predictive component HITL_0
1.0,O=S(=O)(c1ccccc1)N1CCC(c2nnc(CN3CCCCC3)[nH]2)CC1,CCn1c(CN2CCCCC2)nnc1C1CCN(S(=O)(=O)c2ccc(OC)c(OC)c2)CC1,0.96875,0.96875,0.96875,fine-tune predictive component HITL_1
3.0,O=C1CCC(c2ccccc2)C(c2ccccc2)N1CCNS(=O)(=O)c1ccccc1,CCC(CNS(=O)(=O)c1ccc(Cl)cc1Cl)N1C(=O)C(C)(CC(=O)O)CC(c2ccc(F)cc2)C1c1ccc(Cl)cc1,0.96875,0.96875,0.96875,fine-tune predictive component HITL_2
2.0,c1ccc(-c2c3c(nc4ccccc24)-c2ccccc2C3)cc1,CCC1(O)c2cc(O)ccc2-c2nc3ccc(F)cc3c(-c3ccc(OC)c(OC)c3)c21,0.96875,0.96875,0.96875,fine-tune predictive component HITL_3
0.0,O=C1NC=NC12c1ccccc1CC21CCCCC1,COc1cc(C(F)(F)F)cc2c1CC1(CCC(OC)CC1)C21N=C(N)N(C)C1=O,0.9655172228813171,0.9655172228813171,0.9655172228813171,fine-tune predictive component HITL_4
4.0,c1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1,COc1ccccc1CN(C)C1CCN(Cc2ccc(Cl)c(N)c2)CC1,0.9375,0.9375,0.9375,fine-tune predictive component HITL_5
3.0,c1ccc(Cn2cc(CNC34CC5CC(CC(C5)C3)C4)c3ncccc32)cc1,Cc1ccc2c(n1)c(CNC13CC4CC(CC(C4)C1)C3)cn2Cc1c(F)cccc1F,0.9375,0.9375,0.9375,fine-tune predictive component HITL_6
2.0,O=C(Nc1ccc(N=c2[nH]c3ccccc3o2)cc1)C1(C(=O)Nc2ccc(OCc3ccncc3)cc2)CC1,CCS(=O)(=O)c1ccc2[nH]c(=Nc3ccc(NC(=O)C4(C(=O)Nc5ccc(OCc6ccncc6)c(Cl)c5)CC4)cc3)oc2c1,0.9375,0.9375,0.9375,fine-tune predictive component HITL_7
1.0,c1ccc(-n2cccn2)cc1,CC(C)N(C(=O)c1cn(-c2cccc(C(F)(F)F)c2)nc1C=O)C(C)C,0.9375,0.9375,0.9375,fine-tune predictive component HITL_8
0.0,O=S1(=O)CCC(NCCN2CCNCC2)C1,CCCN(CCN1CCNCC1)C1CCS(=O)(=O)C1,0.931034505367279,0.931034505367279,0.931034505367279,fine-tune predictive component HITL_9
1.0,O=c1ccn(C2CC2)c2cc(N3CCCC3)ccc12,CNCC1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,0.90625,0.90625,0.90625,fine-tune predictive component HITL_10
4.0,O=C(NCc1ccc(OCc2ccccc2)nc1)C1NCCN1,CN1CCNC1C(=O)NCc1ccc(OCc2ccc(C(F)(F)F)cc2)nc1,0.90625,0.90625,0.90625,fine-tune predictive component HITL_11
3.0,O=C(Cn1cccc(OCc2ccccc2)c1=O)NCc1ccc(-c2ccccc2)cc1,CN(C)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cccc(OCc2c(F)cccc2Cl)c1=O,0.90625,0.90625,0.90625,fine-tune predictive component HITL_12
2.0,O=C(c1cnccn1)N1CCC2(CC1)CCN(c1cnccn1)CC2,CCc1nccnc1N1CCC2(CCN(C(=O)c3cnccn3)CC2)CC1,0.90625,0.90625,0.90625,fine-tune predictive component HITL_13
0.0,O=S(=O)(NCCOc1cc(=NC(c2ccccc2)c2ccccc2)nc[nH]1)c1ccccc1,CC(C)(C)c1ccc(S(=O)(=O)NCCOc2cc(=NC(c3ccccc3)c3ccccc3)nc[nH]2)cc1,0.8965517282485962,0.8965517282485962,0.8965517282485962,fine-tune predictive component HITL_14
3.0,c1nonc1CN1CCCC2(CCCN2)C1,Cc1nonc1CN1CCCC2(CCCN2S(C)(=O)=O)C1,0.875,0.875,0.875,fine-tune predictive component HITL_15
4.0,O=c1c(Oc2ccccc2)ccnn1Cc1cccc2ccccc12,O=c1c(Oc2cccc(F)c2F)c(Cl)cnn1Cc1cccc2ccccc12,0.875,0.875,0.875,fine-tune predictive component HITL_16
2.0,O=S(=O)(N=c1nco[nH]1)c1ccc2c(c1)nc(-c1ccccn1)n2-c1ccccc1,Cc1nc(=NS(=O)(=O)c2ccc3c(c2)nc(-c2ccccn2)n3-c2ccccc2C)[nH]o1,0.875,0.875,0.875,fine-tune predictive component HITL_17
1.0,,CCOCCOCCOCCOCCOCCOCCOCCOCCN,0.875,0.875,0.875,fine-tune predictive component HITL_18
0.0,O=C(c1[nH]nc2ccccc12)N1CCCC1,CC(C)c1ccc2c(C(=O)N3CC(F)CC3C(=O)O)[nH]nc2c1,0.8620689511299133,0.8620689511299133,0.8620689511299133,fine-tune predictive component HITL_19
3.0,c1ccccc1,COc1ccc(CCNC(C)=O)cc1OC,0.84375,0.84375,0.84375,fine-tune predictive component HITL_20
4.0,c1ccc(C2CC2)cc1,CC(=O)NC(C)Cc1ccc(C2CC2(F)F)cc1,0.84375,0.84375,0.84375,fine-tune predictive component HITL_21
2.0,c1cn(-c2ccc(OC3CCNCC3)cc2)cn1,CC(C)N(C)C(=O)N1CCC(Oc2ccc(-n3ccnc3)cc2)CC1,0.84375,0.84375,0.84375,fine-tune predictive component HITL_22
1.0,c1ccc(Cn2c3ccccc3c3nnc(-c4ccccc4)n32)cc1,Clc1ccc(-c2nnc3c4ccccc4n(Cc4ccccc4)n23)cc1,0.84375,0.84375,0.84375,fine-tune predictive component HITL_23
0.0,c1ccc(C[NH+]2CCN(CC3OCCc4ccccc43)CC2)cc1,CC1(CN2CC[N+](C)(Cc3ccccc3)CC2)OCCc2ccccc21,0.8275862336158752,0.8275862336158752,0.8275862336158752,fine-tune predictive component HITL_24
1.0,O=C1C2=CN(c3ccccc3)CC3=C2C(CCO3)c2ccccc21,CC1(C)CC2C3=C(CN(c4ccccc4CO)C=C3C(=O)c3ccccc32)O1,0.8125,0.8125,0.8125,fine-tune predictive component HITL_25
2.0,O=C1NCNC12c1ccccc1CC21CCCCC1,CCCCN1C(=O)C2(NC1N)c1cccc(Cl)c1CC21CCC(OC)CC1,0.8125,0.8125,0.8125,fine-tune predictive component HITL_26
4.0,c1cc(N2CCOCC2)ncn1,CCC(C)(C)c1ncc(Cl)c(N2CCOCC2)n1,0.8125,0.8125,0.8125,fine-tune predictive component HITL_27
3.0,c1ccc(CC2CCNCC2)cc1,CN(C)C(=O)N1CCC(O)(Cc2ccccc2)CC1,0.8125,0.8125,0.8125,fine-tune predictive component HITL_28
0.0,O=C(Nc1ccccc1)C1NCC2(C(=O)Nc3ccccc32)C1c1ccccc1,CC(C)(C)CC1NC(C(=O)Nc2ccccc2F)C(c2cccc(C#N)c2)C12C(=O)Nc1cc(Cl)ccc12,0.7931034564971924,0.7931034564971924,0.7931034564971924,fine-tune predictive component HITL_29
3.0,[N+]=C1C=CC(=Nc2ccccc2)C=C1,CC[N+](C)=C1C=CC(=Nc2cccc(C(=O)NC)c2O)C=C1,0.78125,0.78125,0.78125,fine-tune predictive component HITL_30
2.0,c1ccccc1,CCCCCCNCCCCCNc1ccccc1,0.78125,0.78125,0.78125,fine-tune predictive component HITL_31
4.0,O=C1NNCC12C(=O)Oc1cccc3c1N2CCCS3,CN1CC2(C(=O)Oc3cccc4c3N2CCCS4)C(=O)N1C,0.78125,0.78125,0.78125,fine-tune predictive component HITL_32
1.0,C1=C2OC3=CCCC4CCOC4C3CCC2CC1,CCCCCC(=O)NC1COC2(C)C3CCC4(C)C(=C(C)CC4(O)C(C)(C)O)OC3=C(C)CCC12,0.78125,0.78125,0.78125,fine-tune predictive component HITL_33
0.0,N=c1sc(=Nc2ccccc2)[nH]n1-c1ccccc1,CCOc1ccc(N=c2[nH]n(-c3ccc(OC)cc3OC)c(=N)s2)cc1,0.7586206793785095,0.7586206793785095,0.7586206793785095,fine-tune predictive component HITL_34
3.0,c1ccc(CCNCc2ccccc2)cc1,CCOc1ccc(CNC(C)Cc2ccccc2)cc1OC,0.75,0.75,0.75,fine-tune predictive component HITL_35
2.0,O=C(CCCCc1ccc2c(c1)OCO2)C1COC2(CCCCC2)O1,CCOC(=O)c1cc2c(cc1CCC(CC(=O)C1COC3(CCCCC3)O1)OC(C)=O)OCO2,0.75,0.75,0.75,fine-tune predictive component HITL_36
1.0,O=C(Nc1ccccc1)c1ccnc(OCc2ccccc2)c1,O=C(Nc1ccc(C(F)(F)F)cc1)c1ccnc(OCc2ccccc2)c1,0.75,0.75,0.75,fine-tune predictive component HITL_37
4.0,c1ccc(COCCCN2CCNCC2)cc1,CC(C)(C)OC(=O)N1CCN(CC(O)COCc2ccccc2)CC1,0.75,0.75,0.75,fine-tune predictive component HITL_38
0.0,C1=CC(COc2ccccc2)(c2ccccc2)CCC1,O=C(C1C=CC(COc2ccccc2)(c2ccccc2)CC1)C(F)(F)F,0.7241379022598267,0.7241379022598267,0.7241379022598267,fine-tune predictive component HITL_39
1.0,O=C(C=Cc1cccc(COc2ccccc2)c1)N1CCN(c2ccccn2)CC1,COc1ccc(C=CC(=O)N2CCN(c3ccccn3)CC2)cc1COc1cccc(C(=N)N)c1,0.71875,0.71875,0.71875,fine-tune predictive component HITL_40
2.0,c1ccc(CN=c2cc(-c3ccccc3)[nH]cn2)cc1,FC(F)(F)c1cc(-c2cc(=NCc3ccccc3)nc[nH]2)cc(C(F)(F)F)c1,0.71875,0.71875,0.71875,fine-tune predictive component HITL_41
