Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
14.0,O=C(NC1CCNCC1)c1ccccc1,CCCCCCCCCCCCCCCCCCN1CCC(NC(=O)c2c(C)cc(C)cc2C)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_0
40.0,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccccc1OCCCCCOCCc1ccccc1,COc1ccccc1N1CCN(CCCCNC(=O)c2ccccc2OCCCCCOCCc2ccccc2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_1
6.0,c1ccc(OCCCN2CC(CCOc3ccc(N4CCCC4)cc3)C2)cc1,c1ccc(OCCCN2CC(CCOc3ccc(N4CCCC4)cc3)C2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_2
81.0,O=C(NCCCN1CCN(c2ccccc2)CC1)c1c[nH]c(-c2ccccc2)c1,CCCn1c(-c2ccccc2)cc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1C,1.0,1.0,1.0,fine-tune predictive component HITL_3
94.0,O=C(NCCCCN1CCC(c2ccccc2)CC1)c1ccc(-c2ccccc2)cc1,N#Cc1ccc(-c2ccc(C(=O)NCCCCN3CCC(c4ccccc4O)CC3)cc2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_4
48.0,O=c1sc2ccccc2n1CCCCN1CCN(c2ccccc2)CC1,O=c1sc2ccccc2n1CCCCN1CCN(c2ccccc2Cl)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_5
44.0,c1ccc(-c2ccc(OCCN3CCCCC3)cc2)cc1,c1ccc(-c2ccc(OCCN3CCCCC3)cc2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_6
89.0,O=C(CCCCN1CCN(c2ccccc2)CC1)NC1CCCc2ccccc21,O=C(CCCCN1CCN(c2ccccc2OCCF)CC1)NC1CCCc2ccccc21,1.0,1.0,1.0,fine-tune predictive component HITL_7
75.0,c1ccc2c(c1)CCN(CCCCN1CCSCC1)C2,Fc1ccc2c(c1)CN(CCCCN1CCSCC1)CC2,1.0,1.0,1.0,fine-tune predictive component HITL_8
10.0,O=C(CCCN1CCCCC1)c1ccc2c(c1)NCCC2,CC1(C)CN(CCCC(=O)c2ccc3c(c2)NCCC3)CCC1O,1.0,1.0,1.0,fine-tune predictive component HITL_9
7.0,c1ccc2c(c1)CC1Oc3cccc4c3C21CCN(CC1CC1)C4,Oc1cc2c(cc1O)C13CCN(CC4CC4)Cc4ccc(O)c(c41)OC3C2,1.0,1.0,1.0,fine-tune predictive component HITL_10
79.0,c1ccc(CNCCCNCCN2CCc3ccccc3C2)cc1,Clc1ccc(CNCCCNCCN2CCc3ccccc3C2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_11
86.0,c1ccc(N2CCN(CCN=c3[nH]c4ccccc4o3)CC2)cc1,Clc1ccccc1N1CCN(CCN=c2[nH]c3ccccc3o2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_12
41.0,O=c1ccc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2o1,O=c1ccc2ccc(OCCCCN3CCN(c4ccc(Br)cc4)CC3)cc2o1,1.0,1.0,1.0,fine-tune predictive component HITL_13
56.0,c1ccc(N2CCNCC2)cc1,ON=C(O)CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_14
71.0,O=C1OCc2cc(CCN3CCN(CCc4ccccc4)CC3)ccc21,O=C1OCc2cc(CCN3CCN(CCc4cccc(Cl)c4)CC3)ccc21,1.0,1.0,1.0,fine-tune predictive component HITL_15
97.0,O=C(NCCCN1CCN(c2ccccc2N2CCN(CCOc3ccccc3)CC2)CC1)C1CCN(Cc2ccccc2)CC1,O=C(NCCCN1CCN(c2ccccc2N2CCN(CCOc3ccccc3OCCF)CC2)CC1)C1CCN(Cc2ccccc2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_16
76.0,c1ccc(OCCCN2CCN(CCCN3CCCCC3)CC2)cc1,c1ccc(OCCCN2CCN(CCCN3CCCCC3)CC2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_17
3.0,c1ccc(Oc2ccccc2CN2CCCC2)cc1,CC(C)Oc1cccc(CN2CCCC2)c1Oc1ccc(Cl)c(Cl)c1,1.0,1.0,1.0,fine-tune predictive component HITL_18
18.0,c1ccc(C2Cc3ccccc3C(c3ccccc3)N2c2ccccc2)cc1,CCOc1cc2c(cc1OCC)C(c1ccc(Cl)cc1)N(c1ccc(O)cc1)C(c1ccccc1)C2,1.0,1.0,1.0,fine-tune predictive component HITL_19
32.0,c1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,CNC(=O)c1ccccc1OCCCN1CCN(c2ccccc2OC)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_20
23.0,O=C(CN1CCN(Cc2ccc3c(c2)OCC3)CC1)Nc1ccccc1,O=C(CN1CCN(Cc2ccc3c(c2)OCC3)CC1)Nc1ccc(Cl)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_21
82.0,c1ccc(N2CCN(C3CCCN(CCN4CCOCC4)C3)CC2)cc1,COc1ccccc1N1CCN(C2CCCN(CCN3CCOCC3)C2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_22
25.0,c1ccc2c(c1)OCc1c-2[nH]c2ccccc2c1=NCCCN1CCOCC1,CC1(C)Oc2ccccc2-c2[nH]c3ccccc3c(=NCCCN3CCOCC3)c21,1.0,1.0,1.0,fine-tune predictive component HITL_23
31.0,O=c1ccc2ccc(OCCN3CCC(N4CCCC4)CC3)cc2o1,O=c1ccc2ccc(OCCN3CCC(N4CCCC4)CC3)cc2o1,1.0,1.0,1.0,fine-tune predictive component HITL_24
90.0,O=C(Nc1ccccc1)NC1CCN(CCCOc2ccccc2)CC1,O=C(Nc1cccc(F)c1)NC1CCN(CCCOc2ccccc2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_25
33.0,c1ccc(CN2CCC3(c4ccccc4)c4ccccc4OC3C2)cc1,Oc1ccc2c(c1)C1(c3ccccc3)CCN(Cc3ccccc3Cl)CC1O2,1.0,1.0,1.0,fine-tune predictive component HITL_26
73.0,c1ccc(N2CCN(CCc3ccc(CN4CCCCC4)cc3)CC2)cc1,Clc1cccc(N2CCN(CCc3ccc(CN4CCCCC4)cc3)CC2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_27
60.0,c1ccc2c(CCCCN3CCN(C4CCCCC4)CC3)cccc2c1,c1ccc2c(CCCCN3CCN(C4CCCCC4)CC3)cccc2c1,1.0,1.0,1.0,fine-tune predictive component HITL_28
30.0,O=c1c2ccccc2oc2cc(OCCCCCCN3CCOCC3)ccc12,O=c1c2ccccc2oc2cc(OCCCCCCN3CCOCC3)ccc12,1.0,1.0,1.0,fine-tune predictive component HITL_29
37.0,c1ccc(N2CCN(CCCN3CCN(c4cccc5ncccc45)CC3)CC2)cc1,Oc1ccc(N2CCN(CCCN3CCN(c4ccccc4)CC3)CC2)c2cccnc12,1.0,1.0,1.0,fine-tune predictive component HITL_30
57.0,O=C(CCCCCN1CCN(c2ccccc2)CC1)N1CCc2ccccc2C1c1ccccc1,N#Cc1cccc(N2CCN(CCCCCC(=O)N3CCc4ccccc4C3c3ccccc3)CC2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_31
95.0,c1ccc(OCCCCN2CCN(c3ccccc3)CC2)cc1,Cc1cccc(C)c1OCCCCN1CCN(c2ccccc2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_32
2.0,O=C(NCCCN1CCN(c2ccccc2)CC1)c1ccc2ccccc2c1,O=C(NCCCN1CCN(c2ccc(Cl)cc2)CC1)c1cc(Br)c2ccccc2c1O,1.0,1.0,1.0,fine-tune predictive component HITL_33
66.0,O=C(NCCCN1CCN(c2ccccc2)CC1)c1ccncc1,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccncc1,1.0,1.0,1.0,fine-tune predictive component HITL_34
61.0,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccccc1,C#Cc1ccc(C(=O)NCCCCN2CCN(c3ccccc3C)CC2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_35
21.0,O=C1CSCN1CCCCN1CCN(c2ncccn2)CC1,O=C1CSCN1CCCCN1CCN(c2ncc(F)cn2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_36
88.0,c1ccc(N2CCN(CCCN3CCN(c4ccccc4)CC3)CC2)cc1,COc1ccccc1N1CCN(CCCN2CCN(c3ccc(Cl)cc3)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_37
96.0,c1ccc(N2CCN(CCCCN3CCN(c4ccnc5ccccc45)CC3)CC2)cc1,COc1ccccc1N1CCN(CCCCN2CCN(c3ccnc4cc(Cl)ccc34)CC2)C(C)C1,1.0,1.0,1.0,fine-tune predictive component HITL_38
16.0,O=C(NCCCN1CCNCC1)C1CCC(=O)N(CCc2ccccc2)C1,CN1CCN(CCCNC(=O)C2CCC(=O)N(CCc3ccc(Cl)cc3)C2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_39
87.0,O=C(NCCCCN1CCN(c2cccc3ccccc23)CC1)c1ccccc1,Nc1ccccc1C(=O)NCCCCN1CCN(c2cccc3ccccc23)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_40
