,smiles,score,likelihood
41,c1c(F)ccc(-c2c(C(c3ccc(OCCN4CCCCC4)cc3)=O)sc3cc(O)ccc32)c1,1.0,-22.311378
9,c1c(O)ccc(CN2CCCC2=CC=Cc2cccc(O)c2)c1,1.0,-30.044788
7,O(Cc1c(Cl)cc(F)cc1)c1ccc(CN2CC(NC(=O)OC(C)(C)C)CC2)cc1,1.0,-30.964441
44,C(CCN1CCN(c2c(Cl)c(Cl)ccc2)CC1)N1CCc2c(cc(Cl)cc2)CC1,1.0,-28.96194
53,c12c(n(C3CCN(CCN4c5c(ccc(F)c5)COc5ccc(Cl)cc54)CC3)c(=O)[nH]1)cccc2,1.0,-29.403454
26,C1N2CCN(CCN3CCCC(C)C3)CC2c2cc(C#N)ccc21,1.0,-31.985327
47,C(NCCOCCNCCCOCCc1c2c(cccc2)ccc1)CCCCNCCCCCN1CCCC1,1.0,-39.930244
20,c1(C(=O)NCCCN2C(=O)CCC2)c2c(cccc2)ccc1,1.0,-20.927086
38,C1N(Cc2ccc(Cl)cc2)CCN(CCCN2CCN(c3cccc(Cl)c3)CC2)C1,1.0,-24.01026
52,c1cc(C(NCCCN2CCN(c3c(C)cc(C)cc3)CC2)=O)ccc1Cl,1.0,-24.236576
57,c1ccc(OC)c(N2CCN(C3CCN(Cc4ccccc4Cl)CC3)CC2)c1,1.0,-23.687695
60,C(c1cccc(O)c1)N1CCC(n2[nH]c(=Nc3cc(Cl)ccc3)c(C(N)=O)c2)(CC#N)C1,1.0,-35.34387
52,C1CN(CCOc2c([N+](=O)[O-])cccc2)CCC1NC(=O)c1cc(Cl)c(N)cc1OC,1.0,-25.0254
39,CCCN(CCN1CCN(c2c(CC)cccc2OC)CC1)CCC,1.0,-34.93171
37,C1CN(c2cc(Cl)ccc2)CCN1C1CNC(C(=O)N2CCCC2C#N)C1,1.0,-22.769386
62,c1(N2CCN(CCCCn3c(O)c4c(c3O)C3C=CC4C3)CC2)cc(Cl)ccc1,1.0,-19.826967
47,C1CN(CCCN2c3c(ccc(NC(C)=O)c3)OCc3ccccc32)CCC1,1.0,-26.623022
8,O=C(c1cnc(N2c3c(cccc3)CC2)cc1F)NC1CN(C(C)C)CC1,1.0,-38.953552
4,c1(C(=O)C2CCN(C3CCN(Cc4ccc(OCCCN5CCCCC5)cc4)CC3)CC2)ccc(Cl)cc1,1.0,-26.153496
22,c1(Cl)cc(N2CCN(CCCN3C(=O)CCc4ccccc43)CC2)ccc1,1.0,-19.349453
