,smiles,score,likelihood
12,c1(C)oc(C)nc1CN1CCCN(c2ccc(N=c3nc(-c4cn(C)c5ccc(F)cc45)cc[nH]3)cc2)CC1,1.0,-45.133347
60,O=C(NCCCN1CCN(c2ccccc2)CC1)c1c2[nH]c3c(cccc3)c(=O)c2ccc1,1.0,-25.740807
17,c1(CCN2CCC(NCc3cccc4c3SCCN4C)CC2)cc2c(cc1)CCCO2,1.0,-33.348663
50,c1ccccc1N1CCN(CCCCNC(c2ccc(F)cc2)=O)CC1,1.0,-19.784843
23,C(CCN1CCN(c2c(C)cc(C)cc2)CC1)Cc1c[nH]c2ccc(F)cc21,1.0,-26.614819
53,N1(c2cc(Cl)ccc2)CCN(CCN2CCC(Cc3ccccc3)CC2)CC1,1.0,-19.600418
14,c1cc(N2CCN(CCCNC(c3ccc4c(c3)C(=O)CCC4)=O)CC2)ccc1Cl,1.0,-33.87502
28,c1(Cc2c3c(cccc3)oc2CCN2CCN(c3ccccc3)CC2)ccccc1,1.0,-24.410002
32,C1CN(c2ccc(Cl)cc2)CCN1CCCCNC(=O)c1ccc(Cl)cc1,1.0,-21.053392
56,c1(OCc2ccccc2)ccc(C(NCCCCN2CCN(c3ccccc3OC)CCC2)=O)cc1,1.0,-24.660076
53,[O-][N+](c1cc2c(cc1)N(CCCCCN1CCN(c3ccccc3OC)CC1)C(=O)C2=O)=O,1.0,-27.410673
11,c1c(CN2CCN(CCCN3CCN(c4ccccc4OC)CC3)C2=N)ccc(Cl)c1Cl,1.0,-27.227741
3,COC(C1C(c2cccc(Cl)c2)CC2N(C)C(CC2)C1)=O,1.0,-26.267586
17,C1(N2c3ccccc3CCC2)CCN(CC2CCCCCCC2)CC1,1.0,-27.483557
62,C1(N2CCCC2)CCN(c2cc(CN3CCN(c4ccc(Cl)cc4)CC3)[nH]c2-c2cccc(Cl)c2)CC1,1.0,-40.456512
27,N1(c2c(F)cccc2)CCN(CCN2CCN(c3ccc(Cl)cc3)C2=O)CC1,1.0,-23.840187
16,c1cccc(C(=O)NC2CC2)c1N1CCN(CCCCNC(c2ccc(NC(c3ccc(Cl)cc3)=O)cc2)=O)CC1,1.0,-27.86301
32,N(CCCCN1CCN(c2ccccc2OC)CC1)C(=O)c1cc2c(cc1)NC(c1ccccc1)NC2=O,1.0,-32.453873
30,C(CN1C(=O)c2c(cccc2)C1=O)CN1CCN(c2ccccc2OC)CC1,1.0,-18.765762
42,c1c(N2CCN(CCCCn3c(=O)n4ccccc4n3)CC2)cccc1Cl,1.0,-24.992107
