Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
14.0,O=C(NC1CCN(C(=O)CCCN2CCN(c3ccccc3)CC2)CC1)c1ccccc1,COc1cc(OC)cc(C(=O)NC2CCN(C(=O)CCCN3CCN(c4ccc(O)cc4)CC3)CC2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_0
95.0,O=C(NCCCCN1CCN(c2ccccc2C(=O)NC2CC2)CC1)c1ccc(NC(=O)c2ccccc2)cc1,O=C(NCCCCN1CCN(c2ccccc2C(=O)NC2CC2)CC1)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_1
88.0,c1ccc(N2CCNCC2)cc1,NC(=O)NCCCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_2
63.0,c1ccc(N2c3ccccc3COc3ccccc32)cc1,COCCNCCc1ccc(N2c3cc(Cl)ccc3COc3ccccc32)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_3
54.0,O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c(=O)c3ccccc3[nH]c12,O=C(NCCCN1CCN(c2ccccc2)CC1)c1cccc2c(=O)c3ccccc3[nH]c12,1.0,1.0,1.0,fine-tune predictive component HITL_4
78.0,O=C1CCCc2ccccc2N1CCCCN1CCN(c2cccc3ccccc23)CC1,COc1ccc2c(N3CCN(CCCCN4C(=O)CCCc5ccc(Cl)cc54)CC3)cccc2c1,1.0,1.0,1.0,fine-tune predictive component HITL_5
45.0,c1ccc2c(c1)CCCC2NCCN1CCCC1,CC(=O)NC1CCN(CCNC2CCCc3ccc(O)cc32)C1,1.0,1.0,1.0,fine-tune predictive component HITL_6
55.0,O=S(=O)(NCCCN1CCN(c2ccccc2)CC1)c1ccccc1,COc1ccc(OC)c(S(=O)(=O)NCCCN2CCN(c3ccccc3C)CC2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_7
24.0,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccccc1,COc1ccc(O)c(C(=O)NCCC(O)CN2CCN(c3ccccc3F)CC2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_8
68.0,O=C1NCCN1CCCN1CCN(c2ccccc2)CC1,O=C1NCCN1CCCN1CCN(c2cccc(Cl)c2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_9
13.0,c1nc(CCCN2CCCNCC2)c[nH]1,CN1CCCN(CCCc2c[nH]cn2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_10
6.0,O=C(c1ccccc1)N1CCNCC1,CC(C)CCCNCCN1CCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_11
37.0,O=C(c1ccccc1)N1CCN(c2ccccc2)CC1,O=C(c1cccc(Cl)c1)N1CCN(c2ccccc2F)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_12
67.0,O=c1c2ccccc2nc(CCN2CCN(c3ccccc3)CC2)n1-c1ccccc1,O=c1c2ccccc2nc(CCN2CCN(c3ccccc3)CC2)n1-c1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_13
