Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
66.0,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CCCN1CCN(c2ccccc2)CC1,Cc1ccc(C2(c3ccc(O)cc3)NC(=O)N(CCCN3CCN(c4cccc(Cl)c4)CC3)C2=O)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_0
98.0,O=C1C2CCCN2C(c2ccccc2)SN1CCCCCCCCN1CCN(CCc2ccccc2)CC1,O=C1C2CCCN2C(c2ccc(Cl)cc2)SN1CCCCCCCCN1CCN(CCc2ccc(Cl)c(Cl)c2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_1
64.0,c1ccc(-c2cc(=NCCCCCN3CCN(c4ccccc4)CC3)c3ccccc3[nH]2)cc1,Cc1ccc(C)c(N2CCN(CCCCCN=c3cc(-c4ccccc4)[nH]c4ccccc34)CC2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_2
51.0,O=C1CC(=O)Nc2nc(OCCCN3CCN(c4ccccc4)CC3)ccc2N1,CCN1C(=O)C(C)(C)C(=O)N(C)c2nc(OCCCN3CCN(c4cccc(O)c4)CC3)ccc21,1.0,1.0,1.0,fine-tune predictive component HITL_3
65.0,O=C(c1ccc2cc(CCN3CCN(c4ccccc4)CC3)sc2c1)C(Cc1cncnc1)c1ccccc1,Cc1c(CCN2CCN(c3ccccc3F)CC2)sc2cc(C(=O)C(Cc3cncnc3)c3ccc(Cl)cc3)ccc12,1.0,1.0,1.0,fine-tune predictive component HITL_4
29.0,c1ccc(Oc2ccc(Cc3ncc[nH]3)cc2)cc1,CCOCCn1ccnc1C(O)c1ccc(Oc2ccc(F)cc2Cl)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_5
40.0,O=C1N(CCCCCN2CCNCC2)CCN1c1cc2ccccc2oc1=O,COc1ccc2oc(=O)c(N3CCN(CCCCCN4CCN(C)CC4)C3=O)cc2c1,1.0,1.0,1.0,fine-tune predictive component HITL_6
93.0,O=C(c1ccccc1)c1ccc(OCCCCCCCCN2CCN(c3ccccc3)CC2)cc1,COc1ccccc1N1CCN(CCCCCCCCOc2ccc(C(=O)c3cccc(F)c3)cc2Cl)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_7
28.0,O=C1Nc2c(ncn2Cc2ccccc2)NC1c1ccccc1,CN1C(=O)C(c2cccc(Cl)c2)Nc2nc(C(C)(C)C)n(Cc3ccccc3)c21,1.0,1.0,1.0,fine-tune predictive component HITL_8
27.0,O=c1[nH]c2ccccc2n1CCCCN1CCN(c2ccccc2)CC1,Cc1ccc(N2CCN(CCCCn3c(=O)[nH]c4ccccc43)CC2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_9
5.0,O=C(CC1CCN(CCc2ccccc2)CC1)c1cccc2[nH]c(=O)sc12,COc1ccc(CCN2CCC(CC(=O)c3ccc(O)c4[nH]c(=O)sc34)CC2)cc1OC,1.0,1.0,1.0,fine-tune predictive component HITL_10
67.0,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,N#Cc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_11
68.0,O=c1c2cnc3ccccc3c2ncn1CCCN1CCN(c2ccccc2)CC1,Cc1ccc2ncc3c(=O)n(CCCN4CCN(c5cccc(Cl)c5Cl)CC4)cnc3c2c1,1.0,1.0,1.0,fine-tune predictive component HITL_12
26.0,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1cc2ccccc2o1,COc1ccccc1N1CCN(CCCCNC(=O)c2cc3ccccc3o2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_13
30.0,c1ccc(CCN2CCN(Cc3ccn(-c4ccccc4)c3)CC2)cc1,CC1CN(Cc2ccn(-c3cccc(F)c3)c2)CCN1CCc1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_14
50.0,O=C1CCc2c(CCCN3CCN(c4ccccc4)CC3)cccc2N1,CN1C(=O)CCc2c(CCCN3CCN(c4ccc(Cl)cc4)CC3)cccc21,1.0,1.0,1.0,fine-tune predictive component HITL_15
69.0,O=c1cc(N2CCN(Cc3ccccc3)CC2)c2ccccc2o1,O=c1cc(N2CCN(Cc3ccc(F)cc3)CC2)c2ccccc2o1,1.0,1.0,1.0,fine-tune predictive component HITL_16
25.0,N=C(NCCCN1CCCC1)c1ccc(Oc2ccccc2)nc1,ON=C(NCCCN1CCCC1)c1ccc(Oc2c(F)c(F)cc(F)c2F)nc1,1.0,1.0,1.0,fine-tune predictive component HITL_17
6.0,O=c1cc(C2CCN(Cc3ccccc3)CC2)[nH]c2ccccc12,COc1cccc2[nH]c(C3CCN(Cc4ccc(C)cc4)CC3)cc(=O)c12,1.0,1.0,1.0,fine-tune predictive component HITL_18
41.0,c1ccc2c(c1)CCc1ccccc1N2CCCNC1CCSCC1,c1ccc2c(c1)CCc1ccccc1N2CCCNC1CCSCC1,1.0,1.0,1.0,fine-tune predictive component HITL_19
92.0,c1ccc(N2CCN(CCCCOc3ccc4c(c3)CCC4)CC2)cc1,Clc1ccccc1N1CCN(CCCCOc2ccc3c(c2)CCC3)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_20
70.0,c1ccc(C2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,Cc1ccc(C2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c(C)c1,1.0,1.0,1.0,fine-tune predictive component HITL_21
24.0,c1ccc(CCCCN2CCN(c3cccc4ccccc34)CC2)cc1,CC(C)C(O)(CCCN1CCN(c2cccc3cc(F)ccc23)CC1)c1ccccc1F,1.0,1.0,1.0,fine-tune predictive component HITL_22
71.0,O=C(NCCCN1CCN(c2ccccc2)CC1)c1cc(=O)c2ccccc2o1,Cc1ccc2c(=O)cc(C(=O)NCCCN3CCN(c4cccc(Cl)c4)CC3)oc2c1,1.0,1.0,1.0,fine-tune predictive component HITL_23
38.0,c1ccc(OCCCN2CCC(c3ccccc3)CC2)cc1,CCC1(c2ccc(N)cc2)CCN(CCCOc2ccc(C#N)cc2)CC1C,1.0,1.0,1.0,fine-tune predictive component HITL_24
72.0,c1ccc2c(c1)OCC1CN(CCCCCCn3c4ccccc4c4ccccc43)CCC21,Oc1ccc2c(c1)OCC1CN(CCCCCCn3c4ccccc4c4ccccc43)CCC21,1.0,1.0,1.0,fine-tune predictive component HITL_25
