,smiles,score,likelihood
29,c1(-n2c3c(c(=O)c(C(=O)O)c2)cc(F)c(N2CCN(C(c4ccc(Cl)cc4)c4ccc(Cl)cc4)CC2)c3)cccc(F)c1,1.0,-30.848446
6,c1c(Cl)c(OCCCc2ccc(OCCCCN3CCN(c4ccccc4OCCF)CC3)cc2)ccc1Cl,1.0,-37.891396
12,c1c(OCCN2CCN(c3ccccc3OC(C)C)CC2)ccc(N2CCN(CCCCc3c4cc(OC)ccc4[nH]c3)CC2)c1,1.0,-36.815147
53,c1(Cl)ccc2c(c1)CCCN2CCCCN1CCN(c2c(OC)cccc2)CC1,1.0,-26.348404
5,c1c(N2CCN(CCCCc3c4cc(F)ccc4[nH]c3)CC2)cc(C=CCN2CCN(c3ccccc3OC(C)C)CC2)cc1,1.0,-45.629433
5,Fc1c(Cl)ccc(N2CCN(CCCCc3c4cc(F)ccc4[nH]c3)CC2)c1,1.0,-27.063694
60,c12cc(F)ccc1[nH]cc2CCN1CCN(c2ccccc2OC(C)C)CC1,1.0,-27.163864
5,C1N(CCCNC2CCC(c3c4cc(OC)ccc4[nH]c3)CC2)CCN(c2ccccc2OC(C)C)C1,1.0,-32.92937
58,N1(CCCCCN2CCN(CCc3ccc(Cl)cc3)CC2)CCN(c2ccccc2OCCF)CC1,1.0,-33.50469
13,Fc1cc2c(cc1)CCN2C1CCN(CCCN2C(c3ccc(Cl)cc3)c3ccc(F)cc3CC2)CC1,1.0,-42.651787
20,C12N(CCCC1CN1CCN(c3ccccc3OCCF)CC1)CCc1c2ccc(OCCCCN2CCN(c3ccc(Cl)cc3)CC2)c1,1.0,-53.853405
11,c1cc(C2c3ccccc3CCN2CCCN2CCN(c3ccccc3OC(C)C)CC2)ccc1Cl,1.0,-31.912533
8,c1c(OCCCCN2CCN(c3ccc(Cl)cc3OC(C)C)CC2)ccc2c1nc(C)[nH]2,1.0,-32.497456
19,c1c(OC2CCN(CCCN3CCN(c4c(OCCF)cccc4)CC3)CC2)ccc(Cl)c1Cl,1.0,-32.586494
46,c1c(F)cc2c(ccc(N3CCN(CCCCc4c5c([nH]c4)ccc(F)c5)CC3)c2)c1,1.0,-27.736147
29,O(CCNC1CN(CCCN2CCN(c3c(OC)cccc3)CC2)CC1)c1ccc(Cl)cc1,1.0,-37.45733
7,c1c(OCCCCCCCCN2CCN(c3ccccc3OCCF)CC2)ccc2c1C1(CCCCC1)NC2,1.0,-42.865997
39,C(CCCN1CCN(c2c(OC)cccc2)CC1)N=c1c2ccc(Cl)cc2[nH]cc1,1.0,-20.035917
25,c1(OCCCN2CCN(c3c(OCCF)cccc3)CC2)cc2cc3c(cc2cc1)C[N+]1(C)CCCC31,1.0,-42.901512
19,c1(Cl)ccc(C(F)(F)F)cc1N1CCN(CCCCc2c(-c3ccc(F)cc3)[nH]c3c2cccc3)CC1,1.0,-35.021873
