,smiles,score,likelihood
22,c1cc(N2CCN(c3c(O)n(-c4ccc(F)cc4)c(O)c3)CC2)ccc1Cl,1.0,-20.349276
6,c1cc(F)ccc1C1=NN(C(=S)N)C(c2ccc(Cl)cc2)C1,0.992,-19.245178
52,c1cc(C2=NN(C(N)=S)C(c3ccc(Cl)cc3)C2)cc2c1OCO2,0.984,-22.543377
21,C(C)(CCOc1ccc(OCCO)c2c1CCOC2)CC,0.976,-36.50757
28,c1c(-c2c(-c3nc(=NC4CCCC4)[nH]cc3)c3n(c(CF)ccn3)n2)ccc(F)c1,0.968,-29.03087
93,C1(N(C(=O)Cc2cc(C(F)(F)F)c(F)cc2)CC)CCN(C2CCCC2)C1,0.96,-26.608175
41,[O-][N+](=O)c1ccccc1C1C(C(C)=Nc2ccc(F)cc2)C(=O)c2ccccc2C1=O,0.952,-34.598114
61,c1cc(C#N)cc2c1c(C1=CCCN(CCC)C1)c[nH]2,0.944,-24.065315
49,CC1=NC2=CC(c3ccc(F)cc3)CC(=O)C2C(c2c(Oc3ccc(S(=O)(=O)C)cc3)cc(OC)cc2)N1,0.936,-31.598766
127,O=C(c1c(F)cccc1)N(C(c1cc(OC)c(OC)c(OC)c1)C(NC1CCCCC1)=O)Cc1ccccc1,0.928,-28.66402
43,C1C2C(CN(C)CC2)C(=O)N1C1CCC1,0.92,-25.224415
78,C(O)c1c2cc3c(c(F)c2on1)N(CCc1ccncc1)C(C)CO3,0.912,-30.588638
120,N(C(c1nc(N2CC3C(N)C3C2)c(F)c(-c2ccc(C(NCC#N)=O)cc2)n1)=O)CC,0.904,-40.61001
77,O=CN(CC1Cc2c(cccc2)CN1S(=O)(c1ccc(OC(F)(F)F)cc1)=O)C,0.896,-32.391342
27,c1(O)c(-c2oc3c(c(O)c(OC)c(O)c3)c(=O)c2)cccc1OC,0.888,-24.569582
13,N(C1c2ccccc2C=CC1N1CCC(c2ccccc2)CC1)C(C)=O,0.88,-31.125616
112,c1(NC(c2cc3c(c(=O)n2C)cccc3)=O)ccc(CC)cc1,0.872,-25.751518
50,CN1CCCCN(c2[nH]c3c(CC)nn(C)c3c(=Nc3ccc(C(F)(F)F)cc3)n2)C1,0.864,-35.26947
121,O=c1c2c(nc(C=Cc3ccc(Cl)c(Cl)c3)n1C)cc(Cl)c(Cl)c2,0.856,-28.53421
92,c1(F)c(F)ccc(NC(=O)C2=C(C)C(=O)OC23CCCCC3)c1,0.848,-20.979805
