,smiles,score,likelihood
31,n1c(C)occ1C(=O)N1CC2(C(c3cc4c(cc3)OCO4)=N1)CC2,1.0,-36.30356
29,O=C(CCc1cn(C)c2c1cc(-c1cccc(C)c1)cc2)O,0.98160917,-26.343758
31,CS(=O)(N1CCN(c2ccccc2OC)CC1C(=O)Nc1ccc(OCC)cc1)=O,0.9655914,-30.341446
28,c1(C(O)(C(c2cc(F)ccc2)=O)Cn2cncn2)ccc(F)cc1,0.96236557,-26.280937
28,Oc1cc(O)cc2sc(N3CCN(Cc4ccc(F)cc4)CC3)nc12,0.95913976,-26.322935
30,N(CCC1=CCCCC1)C(CN(c1ccccc1)S(=O)(=O)c1ccc(Cl)cc1)=O,0.9580645,-24.833212
30,c1(C=Cc2n(Cc3cccc(F)c3)c3c(n2)cccc3)c(C)[nH]nc1C,0.95566505,-31.301392
28,c1c(C(=O)NC(CC(C)C)c2c[nH]c(=Nc3cncnc3)c(-c3[nH]c(C)nc(=N)n3)c2)n[nH]c1C,0.9548387,-34.909607
30,c1cc(NC(NCCC(=O)NC2CCCc3ccccc32)=O)ccc1,0.95268816,-22.563393
30,c1cccc(Oc2ccc(-c3cc(C(C)(CO)F)cnc3)cc2)c1F,0.9376344,-34.304047
29,c1[n+](-c2c([N-]S(=O)(c3c(C)cc(N)cc3)=O)c3c(nccc3)n2CC)sc2ccccc12,0.927957,-45.283607
25,N(C(=O)CCC(Nc1ccc(OC(C)C)cc1)=O)=c1sc2c([nH]1)c(C)ccc2,0.9264368,-33.841965
31,C1CC(NC(N(CC)C(c2ccc(C#N)cc2)C)=O)CCN1C,0.911828,-30.326622
30,C(c1c[nH]nn1)NCC(c1cc(F)ccc1)O,0.9021505,-26.01426
27,N(C(=O)c1ccccc1C)Cc1cnc(-n2ncnc2)cc1,0.90107524,-23.382313
22,c1cccc(CNC(=O)c2cc(C(C)(CO)C)c3c(c2)C(C)(C)CCC3(C)C)c1,0.9,-28.430235
28,Fc1ccc(C(N=c2[nH]c3ccccc3n2CCC)=O)cc1,0.89462364,-21.106144
26,c1c(C(N2C(C(=O)Nc3c(C)ccc(Cl)c3)(C)CC2)=O)oc(Br)c1,0.89139783,-26.267391
31,c1c(C=Cc2ccccc2)ccc(OC)c1OC,0.89032257,-18.356506
31,C1c2c(sc3ncnc(-n4[nH]c(-c5occc5)nc4=O)c32)CC1,0.89032257,-27.393723
