,smiles,score,likelihood
30,c1(Cl)ccc(C(N2CCN(C)CC2)CN2CCN(C(=O)C)CC2)cc1,0.9956989,-25.407772
30,COc1cc2c(cc1)CCC(N(CCCCCCN1CCC(c3c[nH]c4c3cccc4)CC1)CCC)C2,0.9678161,-27.32613
30,O=C(c1sc2c(c1)CCc1c-2cc(N2CCNCC2)cc1)c1ccc(Cl)cc1Cl,0.94623655,-34.7589
28,c1ccc(-c2nc(=NCCCCCN3CCCCC3)cc(N=c3[nH][nH]c(C4CC4)c3)[nH]2)cc1N1CCN(C)CC1,0.94367814,-30.873041
28,c1c2n(nc1)CC(C)N(Cc1ccc(Cl)c(F)c1)C2,0.9236559,-28.840626
30,N(C(=O)C)C(C(N1CCN(C)CC1)=O)CNC(C)C1CCCCC1,0.89885056,-35.08858
29,O(CCOCC)CCOc1cc2c(cc1)-n1ccnc1CC2,0.8954023,-24.621399
29,c1c(Cl)cccc1C(=O)N(C1CN(C(N2CC(NCCCc3ccccc3)CC2)=O)CC1)C,0.89462364,-27.372702
31,CC(C)CN1CCN(CCN=C2C(Cl)C(=O)N(c3ccc(OC)cc3)C2=O)CC1,0.89032257,-27.42133
31,c1(C)n(-c2ccccc2C)c(C)c(CNC2CCN(C)CC2)c1C,0.88387096,-28.71972
25,C1N(c2c(F)cccc2)CCN(CCC(=NO)c2ccc(F)cc2)C1,0.8817734,-20.26934
30,C1CCC(C)CN1CCCC(c1ccccc1)c1ccccc1,0.8816092,-22.054075
26,C=CCN1CCN(CCn2c(O)c3n(c2=O)Cc2ccccc2C3)CC1,0.8795699,-23.52634
29,c1c(Cl)cnc(Oc2c(C)c(C3CCN(CC(C)C)CC3)nc(-c3c(Cl)ccc(O)c3)n2)n1,0.87068963,-43.653324
26,c12c(cc(OC)c(OC)c1)CCN1CCc3c(cccc3)C21,0.8655914,-20.900455
25,OC(c1cn(CC)c2c(c1=O)c(Oc1cc(Cl)ccc1)c(Br)s2)CN1CCCC1,0.8634409,-40.342663
27,C1N(c2ccccc2)CCN(CCC2CCC(c3c[nH]c4ccccc34)CC2)C1,0.8526882,-19.88301
30,C1N(c2c(CC)cc3c(c2)OCCCO3)CCN(CCC2CCC(NC(C)=O)CC2)C1,0.85172415,-26.801338
27,C1(c2cc(-c3nnc4n3ccc(N3CCN(C)CC3)c4)ccc2)N(C)CCC1,0.8397849,-31.9748
27,C1OCCN(CCC(N2c3c(cccc3)Sc3c2cc(NC(=O)OCC)cc3)=O)C1,0.83793104,-25.057127
