smiles_1,smiles_2,smiles_3,label_1_proba,label_2_proba,label_3_proba,label_1_binary,label_2_binary,label_3_binary,label_1_softmax,label_2_softmax,label_3_softmax,label_1_rank,label_2_rank,label_3_rank
COc1ccccc1N1CCN(CCNC(=O)c2ccc(F)cc2)CC1,COc1ccccc1N1CCCN(CCCCNC(=O)c2ccc(Cl)nc2)CC1,C[SH](=O)(O)N=C1c2cccc3cccc(c23)C1N1CCOCC1,0.71238184,0.9922569,0.01433813,1,1,0,0.35454425,0.46904945,0.17640623,1,2,0
CCCn1nc(C(=O)Nc2ccc(N3CCOCC3)cc2)c2ccccc2c1=O,Cc1cc(Cl)c2oc(C(=O)N3CCN(C(=O)c4ccco4)CC3)c(C)c2c1,CC(C)Oc1ccccc1N1CCN(C2CCC(NC(=O)Nc3cccc(Cl)c3)CC2)CC1,0.00047714522,0.00047017404,0.98054576,0,0,1,0.21437918,0.2143777,0.57124317,1,0,2
COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,Oc1[nH]cc2cc(F)c(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc12,0.85541004,0.9999962,0.9911514,1,1,1,0.30294338,0.35006964,0.346987,0,2,1
COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,C=CCN(c1ccc(C(=O)NCCc2ccccc2)cc1)S(C)(=O)=O,CCOc1ccc(C(=O)NCC2CCCO2)cc1OCC,0.85541004,0.0004788458,0.0016903651,1,0,0,0.5402075,0.22975698,0.2300355,2,0,1
COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,O=C(CCCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1)c1nc2ccccc2s1,CCOC(=O)c1sc(NC(=O)CSC2=NC3=CCSC3C(=O)N2c2ccccc2)c(C(=O)OCC)c1C,0.85541004,0.9924074,0.007781962,1,1,0,0.3883111,0.4453249,0.16636409,1,2,0
COc1cccc(CNC(=O)c2ccc3c(c2)N(C)CCS3)c1OC,CCCN(CCC)CC1COc2cccc(OC)c2C1,CN1CCN(c2nc3ccccc3c(Cl)c2Sc2ccccc2)CC1,0.011308265,0.6738214,0.2040292,0,1,1,0.24083588,0.4671399,0.29202417,0,2,1
COc1cccc(CNC(=O)c2ccc3c(c2)N(C)CCS3)c1OC,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1,CCOc1ccc(C(=O)NCC2CCCO2)cc1OCC,0.011308265,0.4832093,0.0016903651,0,1,0,0.27828276,0.44609806,0.27561912,1,2,0
COc1cccc(CNC(=O)c2ccc3c(c2)N(C)CCS3)c1OC,COc1ccccc1N1CCN(CCCc2cn(CCCN3CCc4cc(O)c(O)cc4C(c4ccccc4C)C3)nn2)CC1,Oc1nc2c(O)ccc(CCNCC=S(O)(O)=CCCOCCc3ccccc3)c2s1,0.011308265,0.9999979,0.71913165,0,1,1,0.17490838,0.47010306,0.3549886,0,2,1
N#Cc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1,CC1(C)CC2(CC(C)(C)N1)OC(=O)N1CCc3ccccc3C12C,Cc1cc(C=O)c(C)n1-c1cc(C(F)(F)F)ccc1N1CCOCC1,0.11285405,0.007488568,0.0012274192,1,0,0,0.35786194,0.32207415,0.3200639,2,1,0
N#Cc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1,CC(C)Oc1ccccc1C1Nc2ccccc2C(=O)N1c1ccc2c(c1)OCCO2,CC1(C)Oc2c(cccc2N2CCN(CCCc3c[nH]c4ccccc34)CC2)NC1=O,0.11285405,0.003598959,0.99129397,1,0,1,0.23236129,0.20831229,0.55932647,1,0,2
