Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
5.0,c1ccc(Cc2ccc(OCCCN3CCOCC3)cc2)cc1,c1ccc(Cc2ccc(OCCCN3CCOCC3)cc2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_0
146.0,O=C(NCCCCN1CCN(c2ccccc2)CC1)c1ccccc1,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(Cl)cc2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_1
108.0,O=C(c1ccc(OCCCCN2CCN(c3ccccc3)CC2)cc1)C1CC1,COc1cc(C(=O)C2CC2C(=O)O)ccc1OCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_2
174.0,c1ccc(N2CCN(CCC3CCCNC3)CC2)cc1,CCCCN1CCCC(CCN2CCN(c3ccccc3F)CC2)C1,1.0,1.0,1.0,fine-tune predictive component HITL_3
66.0,c1ccc(CNC2CCc3ccccc3C2)cc1,Clc1cccc(CNC2CCc3ccccc3C2)c1,1.0,1.0,1.0,fine-tune predictive component HITL_4
147.0,O=S(=O)(NCCCN1CCN(C2CCCc3ccccc32)CC1)c1ccccc1,O=S(=O)(NCCCN1CCN(C2CCCc3ccccc32)CC1)c1cccc(Cl)c1,1.0,1.0,1.0,fine-tune predictive component HITL_5
99.0,N=C(C1CCN(CCCc2ccccc2)CC1)C1c2ccccc2Oc2ccccc21,COc1ccc(CCCN2CCC(C(=N)C3c4ccccc4Oc4cc(Cl)ccc43)CC2)cc1,1.0,1.0,1.0,fine-tune predictive component HITL_6
124.0,O=C(CCCN1CCCN(C2CCC3C(=CCC4C5CCCC5CCC34)C2)CC1)OCCCCCc1ccccc1,CC12CCC3C4CCC(N5CCCN(CCCC(=O)OCCCCCc6cccc(Cl)c6)CC5)CC4=CCC3C1CCC2O,0.9989423751831055,0.9989423751831055,0.9989423751831055,fine-tune predictive component HITL_7
60.0,c1ccc(C(OCC2CCNCC2)c2ccccc2)cc1,CCCCN1CCC(COC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.9972677826881409,0.9972677826881409,0.9972677826881409,fine-tune predictive component HITL_8
191.0,c1ccc(C2CCN(CCC3CCc4c(OCCCCN5CCN(CCN=c6cc[nH]c7ccccc67)CC5)cccc43)CC2)cc1,Clc1ccc2c(=NCCN3CCN(CCCCOc4cccc5c4CCC5CCN4CCC(c5ccccc5)CC4)CC3)cc[nH]c2c1,0.9923195242881775,0.9923195242881775,0.9923195242881775,fine-tune predictive component HITL_9
122.0,O=C1CNC(=O)N1CCCCCN1CCN(c2ccccc2)CC1,CC1(C)NC(=O)N(CCCCCN2CCN(c3ccccc3F)CC2)C1=O,0.988135576248169,0.988135576248169,0.988135576248169,fine-tune predictive component HITL_10
199.0,O=C(NCCCNC(=O)c1c[nH]c2ccccc2c1=NCCCN1CCN(c2ccccc2)CC1)c1ccc[nH]1,O=C(NCCCNC(=O)c1c[nH]c2ccccc2c1=NCCCN1CCN(c2ccccc2F)CC1)c1cc(Br)c[nH]1,0.9836149215698242,0.9836149215698242,0.9836149215698242,fine-tune predictive component HITL_11
63.0,O=c1[nH]c2ccccc2n1C1CCNCC1,O=c1[nH]c2ccccc2n1C1CCN(CCO)CC1,0.9804336428642273,0.9804336428642273,0.9804336428642273,fine-tune predictive component HITL_12
142.0,O=c1oc2ccccc2cc1CCCN1CCN(c2ccccc2)CC1,CCCc1cccc2cc(CCCN3CCN(c4cccc(Cl)c4Cl)CC3)c(=O)oc12,0.9785827398300171,0.9785827398300171,0.9785827398300171,fine-tune predictive component HITL_13
32.0,c1ccc(OCCN2CCNCC2)cc1,Cc1cc(Br)ccc1OCCN1CCN(C)CC1,0.9772607088088989,0.9772607088088989,0.9772607088088989,fine-tune predictive component HITL_14
48.0,c1ccc(Cn2nc(C3CC3)cc2N2CCC3(CCNCC3)C2)cc1,COC1CNCCC12CCN(c1cc(C3CC3)nn1Cc1ccc(F)cc1)C2,0.9762030839920044,0.9762030839920044,0.9762030839920044,fine-tune predictive component HITL_15
186.0,c1ccc(OCCCN2CCN(c3ccc4c(c3)OCO4)CC2)cc1,Fc1ccc(OCCCN2CCN(c3ccc4c(c3)OCO4)CC2)cc1,0.9743983745574951,0.9743983745574951,0.9743983745574951,fine-tune predictive component HITL_16
98.0,c1ccc2c(c1)N=C(N1CCN(C3CCC3)CC1)c1ccccc1N2,Clc1ccc2c(c1)N=C(N1CCN(C3CCC3)CC1)c1ccccc1N2,0.9725013375282288,0.9725013375282288,0.9725013375282288,fine-tune predictive component HITL_17
95.0,c1ccc(C2CCNCC2)cc1,CN1CCC(c2ccccc2)CC1,0.9688524603843689,0.9688524603843689,0.9688524603843689,fine-tune predictive component HITL_18
52.0,C1=C(n2cccc2)CCN(Cc2ccccc2)C1,Clc1ccc(CN2CC=C(n3cccc3)CC2)cc1,0.9603174328804016,0.9603174328804016,0.9603174328804016,fine-tune predictive component HITL_19
