,smiles,score,likelihood
31,c12c(OCCN3CCC(c4cn(CCN(C)C)c5ccc(F)cc45)CC3)csc1cccc2,1.0,-34.791615
30,C1N(c2ccc(F)cc2)CCN(CCCOc2c(C)cc3c(n2)nc(C)cc3)C1,0.9908046,-31.258722
30,c1(Cl)cc(C2c3cc(OC)c(OC)cc3CCN2)ccc1,0.98494625,-19.299244
30,C1c2cc3n(c2-c2c(ccc(Br)c2)C1)CCNC3c1cccc(Cl)c1,0.95632184,-36.960373
30,c1(OC)cc(-c2c3c(cc(CN4CCN(C)CC4)c2C)OCO3)cc(OC)c1OC,0.9483871,-28.935127
31,c12c(cccc1)cnn(CC1CCN(C)CC1)c2=O,0.93655914,-22.678328
31,C1C2(CCN(CCC(CN(S(=O)(=O)c3c(Cl)cccc3)C)c3cc(Cl)c(Cl)cc3)CC2)c2c(cccc2)C1,0.9174877,-28.812443
28,C12C3(CC3)C(C(C(N=CCCCN3CCCC3)=O)C1C(NCc1ccc(Br)cc1)=O)C2,0.91612905,-23.238781
31,N1(c2cc(C(F)(F)F)nc(SC)n2)CCC(NCC(O)COc2ccc(O)cc2)CC1,0.90967745,-26.966072
27,CCCCc1cc(CN2CCC(O)CC2)c(O)cc1OCCC,0.8965517,-32.20475
29,c1(OC)cc2c(nc(N3CCN(C)CC3)[nH]c2=NCCO)cc1OC,0.88916254,-24.518764
29,C1C(c2ccc(O)cc2)=C(OC)CN(c2nc(Cc3ccc(O)cc3)cc(-c3ccc(O)cc3)c2)C1,0.8634409,-41.72963
26,C(CCN1CCN(c2nnc(Cl)cc2)CC1)Oc1ccc(C)cc1,0.85714287,-22.417784
30,C1N(C(=O)N2CCCC2)CCC12CCN(C(c1n(C)ccc1)=O)CC2,0.8516129,-26.067343
28,c1(NC2CCCN(Cc3ccc(Cl)c(F)c3)C2)c(=O)[nH]c(C)c(CC)c1,0.8448276,-24.732483
29,c1(-c2cc(CSc3ccccc3)ccc2)cc(OC2CCN(C)CC2)ccc1OC,0.8397849,-31.006742
27,c1(CN2CCC3(COCCC3)CC2)ccc(C#N)cc1,0.8397849,-25.4547
30,C1N(c2c(Cl)c(Cl)ccc2)CCN(C(Nc2cc(OC)cc(OC)c2)=S)C1,0.83870965,-24.05017
30,c1c(F)c(CSC2C(=O)OC3(CCOCC3)c3c2cccc3)ccc1F,0.8333333,-30.899563
27,c1c(C)cc(COCC(C(c2ccc(Cl)c(Cl)c2)CCN2CCCCC2)=NOC)cc1,0.8311828,-25.52148
