smiles_1,smiles_2,smiles_3,label_1_proba,label_2_proba,label_3_proba,label_1_rank,label_2_rank,label_3_rank
COc1ccc(-n2cc(-c3ccccc3)c3c(SC(C)C(C)=O)ncnc32)cc1,CC(C)(C)OCC(NC(=O)OC(C)(C)C)c1nnc(C(CCCCNC(=O)OC(C)(C)C)NC(=O)C2CCN(C(=O)OC(C)(C)C)CC2)o1,CCN1CCCC1CNC(=O)c1c(Cl)c(Cl)cc(O)c1OC,0.21177046,0.2128389,0.57539064,1,2,3
Cc1ccc(C=C(C#N)C(=O)c2ccccc2)s1,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)NCc2ccco2)cc1,CS(=O)(=O)c1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1,0.2127262,0.21278438,0.5744894,1,2,3
C=CCn1c(S)nnc1C(C)NC(=O)c1cccc(C)c1,Cn1c(Cl)cnc1C=CC(=O)c1cc(Cl)ccc1O,O=C(CSc1ncn[nH]1)N1CCOCC1,0.3331083,0.33319116,0.33370057,1,2,3
CCN1CCCC1CNC(=O)c1c(O)c(I)cc(OC)c1OC,COc1ccccc1C(=O)CSc1n[nH]c(N)n1,Nc1nc(SCC(=O)N2CCOCC2)n[nH]1,0.5756537,0.21188845,0.21245785,3,1,2
CN1CCN(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)CC1,CN(C)S(=O)(=O)c1cccc(C(=O)NCc2cccs2)c1,COc1cc(C(=O)NCC2CCCO2)cc(OC)c1OC,0.57535076,0.2116758,0.21297348,3,1,2
C=CCNc1nnc(SCC(=O)N2CCC(C(N)=O)CC2)s1,CCn1cc(CNC(=O)c2cc([N+](=O)[O-])c(C)c([N+](=O)[O-])c2)cn1,CCN1CCCC1CNC(=O)c1cccc(OC)c1OCCF,0.21223514,0.21196657,0.5757983,2,1,3
CCN1CCCC1CNC(=O)c1c(OC)ccc(I)c1O,CC(=O)Nc1nnc(SCC(=O)c2ccc(F)cc2)s1,NCCCCC(N)c1nnc(C(CC(=O)O)NC(=O)C2CCNCC2)o1,0.57560784,0.21176507,0.21262711,3,1,2
C=CCN1CCCC1CNC(=O)c1cc(Br)cc(OC)c1OC,CCCCCCC1C(=NNC(=O)c2ccccc2)CCC1C(=O)OC,OCCN1CCN(C2CC(c3ccc(F)cc3)c3c(Cl)cccc32)CC1,0.422304,0.15539615,0.4222998,3,1,2
CCCCCCC1C(=NNC(=O)c2ccccc2)CCC1C(=O)OC,Cc1nnc(SCC(=O)c2ccc(Cl)cc2)s1,Cc1noc(C)c1COC(=O)c1cccnc1Cl,0.33333224,0.3332786,0.33338922,2,1,3
CN1CCN(C2CC(c3ccc(F)cc3)c3cccc(Cl)c32)CC1(C)C,NCCCCC(NC(=O)C1CCNCC1)c1nnc(C(N)CO)o1,O=C(NC(N1CCCC1)C(Cl)(Cl)Cl)c1ccccc1,0.5728578,0.21273233,0.21440978,3,1,2
Cc1nnc(SCC(=O)c2ccccc2)[nH]1,CCOC(=O)c1sc(NNC(=O)c2ccc(F)cc2)nc1C,CN1CCN(C2CC(c3ccc(F)cc3)c3cccc(Cl)c32)CC1(C)C,0.2123782,0.21231349,0.57530826,2,1,3
CN(C)c1ccc(C(=O)NCC2CCCO2)cc1,COc1ccccc1C(=O)CSc1n[nH]c(N)n1,CC(Sc1nccn1C)C(=O)c1ccc(Br)cc1,0.33355945,0.33325168,0.3331889,3,2,1
CC(C)(C)C(=O)Nc1ccccc1C(=O)NCc1ccco1,Cc1nn(C)cc1CNC(=O)c1cccc(Cl)c1,COc1c(Cl)cc(C(=O)NCc2ccco2)cc1Cl,0.33314288,0.3332996,0.33355752,1,2,3
CN1CCN(C2CC(c3ccccc3)c3ccc(Cl)cc32)CC1(C)C,Cc1ccc(C(=O)NCc2ccco2)cc1Br,CC(C)CC(=O)N1CCN(C(=O)CCC2CCCC2)CC1,0.57324225,0.21298248,0.21377529,3,1,2
COc1cccc(C(=O)NN=C2CCCC2)c1,O=C(NCc1cc(C(O)O)no1)c1ccccc1Cl,CCc1ccc(OC)c(C(=O)NCC2CCCN2CC)c1Br,0.21198589,0.21195056,0.5760636,2,1,3
CN(C)S(=O)(=O)c1cccc(C(=O)NCc2ccco2)c1,COC(=O)C(CC(=O)c1ccc(C)cc1)n1nc(C)cc1C,CCCn1nnnc1SCC(=O)N1CCOCC1,0.333021,0.33304706,0.33393192,1,2,3
CCOc1cc(C(=O)NC(C)C2CCCO2)cc(OCC)c1OCC,Cn1ccnc1SCC(=O)c1ccc([N+](=O)[O-])cc1,Nc1nc(SCC(=O)c2cc(F)ccc2F)n[nH]1,0.3343063,0.3327766,0.33291715,3,1,2
CCSCc1nnc(SCC(=O)c2ccc(OC)cc2)n1C,CCCn1nnnc1SCC(=O)N1CCOCC1,NCCc1nnc(SCC(=O)c2ccc(Cl)cc2)o1,0.3328794,0.33378536,0.33333525,1,3,2
Cn1cnnc1SCC(=O)c1ccc(OC(F)F)cc1,CCCSc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1OC,COc1ccc(Cl)cc1C(=O)CSc1nnnn1C,0.3331465,0.33366713,0.33318633,1,3,2
C=CCn1c(S)nnc1C(C)NC(=O)c1cccc(C)c1,CCn1cc(CNC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)cn1,Cc1nnc(SCC(=O)c2cccc([N+](=O)[O-])c2)[nH]1,0.3333895,0.33336335,0.3332472,3,2,1
COc1ccc(C(=O)CSc2ncn[nH]2)cc1OC,CCCCCCC1C(=NNC(=O)c2ccccc2)CCC1C(=O)OC,Cc1ccc(C=C(C#N)C(=O)c2ccccc2)s1,0.3333644,0.33335105,0.3332846,3,2,1
CCN1CCCC1CNC(=O)c1c(OC)ccc([N+](=O)[O-])c1O,Cc1nc(COC(=O)c2ccc(CO)cc2)cs1,CCCn1nnnc1SCC(=O)N1CCOCC1,0.5628647,0.21828225,0.21885306,3,1,2
CN1CCN(C2CC(c3ccc(F)cc3)c3cc(Cl)ccc32)CC1,Cc1cccc(C(=O)OCc2cnc(Cl)s2)c1,COC(=O)CSc1nnc(CNC(=O)c2ccc(S(=O)(=O)N(C)C)cc2)n1C,0.5760447,0.21199109,0.2119643,3,2,1
CN(C)S(=O)(=O)c1cccc(C(=O)NCc2cccs2)c1,N#CC(=Cc1cccs1)C(=O)N1CCOCC1,Cc1noc(C)c1COC(=O)c1cccnc1Cl,0.33321333,0.33345848,0.33332825,1,3,2
O=C(C1CC1(F)F)N1CCC2(CC1)CC(=O)N(c1ccc(F)c(Cl)c1)C2=O,COc1cc2c(c(OC)c1OC)C1N=CN3Cc4cc5c(cc4CC3C1C2)OCO5,CC(=O)Oc1ccc2c(c1)C(N)CC1(CCC(N(C)CCO)CC1)O2,0.3373259902000427,0.3315695524215698,0.33110448718070984,3,2,1
O=C(C1CC1(F)F)N1CCC2(CC1)CC(=O)N(c1ccc(F)c(Cl)c1)C2=O,COc1cc2c(c(OC)c1OC)C1N=CN3Cc4cc5c(cc4CC3C1C2)OCO5,O=C(CCCC(=O)N1CCCC(C(F)(F)F)C1)N1CCc2ccccc2C1,0.3387269079685211,0.3329465687274933,0.3283265233039856,3,2,1
O=C(C1CC1(F)F)N1CCC2(CC1)CC(=O)N(c1ccc(F)c(Cl)c1)C2=O,COc1cc2c(c(OC)c1OC)C1N=CN3Cc4cc5c(cc4CC3C1C2)OCO5,CCC(CC(O)c1ccc(F)c(F)c1)N(C)Cc1ccccc1,0.3148673176765442,0.30949410796165466,0.37563854455947876,2,1,3
