Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
33.0,c1ccc(-c2nc3ccn(Cc4cncnc4)cc-3n2)cc1,Fc1ccccc1-c1nc2ccn(Cc3cncnc3)cc-2n1,1.0,1.0,1.0,fine-tune predictive component HITL_0
88.0,O=C(Cn1c(COc2ccccc2)nc2ccccc21)NN=Cc1ccccc1,O=C(Cn1c(COc2cc(Cl)c(Cl)cc2Cl)nc2ccccc21)NN=Cc1cccc(Cl)c1Cl,1.0,1.0,1.0,fine-tune predictive component HITL_1
96.0,c1ccc(-c2ccc3ccccc3c2)cc1,COc1ccc(-c2cc3c(O)cc(O)cc3cc2C)cc1OC,1.0,1.0,1.0,fine-tune predictive component HITL_2
84.0,O=C(Nc1ccccc1)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,O=C(Nc1ccccc1)NC1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_3
40.0,c1cc(CN2CCCC(Cn3cncn3)C2)ccn1,c1cc(CN2CCCC(Cn3cncn3)C2)ccn1,1.0,1.0,1.0,fine-tune predictive component HITL_4
88.0,O=C(Nc1ccccc1)c1cc2ccccc2s1,COc1ccc2sc(C(=O)Nc3cccc(C(F)(F)F)c3)cc2c1,0.9838709831237793,0.9838709831237793,0.9838709831237793,fine-tune predictive component HITL_5
64.0,c1ccc(Oc2cccc(Oc3ccccc3)c2)cc1,Cc1cc(CCC#N)cc(C)c1Oc1cc(Oc2cc(Cl)cc(C#N)c2)c(C#N)c(Cl)c1C#N,0.9814912676811218,0.9814912676811218,0.9814912676811218,fine-tune predictive component HITL_6
69.0,C=C1C2CC(=O)C3C1CCC1CC4Cc5c[nH]nc5C3(CCC12)C4,CC12CCC3(C)CC4CC5(CCC3(C)C(CC(=O)C15)C2=CBr)c1n[nH]cc1C4(C)C,0.9606557488441467,0.9606557488441467,0.9606557488441467,fine-tune predictive component HITL_7
13.0,O=C(NCC(c1cccs1)N1CCOCC1)c1ccccc1,CCOc1ccc(C(=O)NCC(c2cccs2)N2CCOCC2)cc1,0.9595451951026917,0.9595451951026917,0.9595451951026917,fine-tune predictive component HITL_8
49.0,O=C(Cc1n[nH]c(=O)c2ccccc12)NCC(=O)NC1CCCCC1,CC1CCC(NC(=O)CNC(=O)Cc2n[nH]c(=O)c3ccccc23)CC1,0.956733226776123,0.956733226776123,0.956733226776123,fine-tune predictive component HITL_9
52.0,c1ccc(-c2cnc3ccccc3n2)cc1,Cc1cc2nc(Cl)c(-c3ccccc3[N+](=O)[O-])nc2cc1C,0.9542570114135742,0.9542570114135742,0.9542570114135742,fine-tune predictive component HITL_10
93.0,O=C(CN1CCN(C(=O)C2CC2)CC1)Nc1ccccc1,Cc1cc(F)cc(NC(=O)CN2CCN(C(=O)C3CC3)CC2)c1,0.9480874538421631,0.9480874538421631,0.9480874538421631,fine-tune predictive component HITL_11
54.0,c1ccc2cc3c4c(ccc3cc2c1)OCC4,Cc1c(O)cc2cc3c4c(ccc3c(O)c2c1O)OCC4,0.9479111433029175,0.9479111433029175,0.9479111433029175,fine-tune predictive component HITL_12
