,smiles,score,likelihood
63,c12ccc(F)cc1[nH]cc2CCCN1CCC(COC(c2ccccc2)c2ccccc2)CC1,1.0,-26.643093
63,c1ccc2c(ccc(C3c4c(cccc4)CN(C)C(=O)C3)c2)c1,1.0,-27.304567
63,c1ccc(Cl)cc1N1CCN(CC2CCC(c3c(C)[nH]c4c3ccc(OC)c4)=CC2)CC1,1.0,-31.077078
63,O=c1ccc2c(o1)ccc(C(=O)CCCN1CCC(c3ccc(Cl)cc3)CC1)c2,0.97926265,-26.765718
63,C1CN(c2cccc(C(F)(F)F)c2)CCN1CCCN=c1nc(C)cc(Cl)[nH]1,0.9715822,-25.99873
61,C1N(C(Cc2c3c(ccc(Cl)c3)[nH]c2)=O)CCCC1Nc1cccc(F)c1,0.96979004,-30.585155
62,C(CN1CCN(c2c(OC)cccc2)CC1)C1CCC(NC(=O)CCOC)CC1,0.9687996,-21.163265
61,c1cnccc1C(=O)NCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.96313363,-22.152576
61,C(Oc1cc(OC)ccc1)c1cccc(Cl)c1,0.95956284,-21.645876
63,C1N(C)CCN(CCCSc2ccc(C)cc2)C1,0.95519716,-19.141506
63,c1cc(SC)ccc1CN1CCC(N2CCN(C)C2=O)CC1,0.9546851,-21.95141
61,FC(F)(F)c1cc(CN(CC2C(C)CC(CN)(C)C2C)C2CCCCC2)cc(C(F)(F)F)c1,0.9545214,-41.649445
60,C1(N(c2cccc(F)c2)C(CC)=O)c2c(cccc2)CC1,0.9539548,-24.282595
60,c1cccc(CN2CCC(O)(C(F)(F)F)CC2)c1-c1ncccc1CN(C)C,0.9460452,-34.018337
62,c1(C(=O)N2CCC(N3CCC(Cc4c(Cl)ccc(Cl)c4)CC3)CC2)c(SC)cccc1,0.9436764,-28.93335
58,C1CC(N2Cc3ccccc3NC2=O)CCN1Cc1c(F)cccc1,0.9388121,-22.638292
59,c1ccccc1C(CCC1CCN(CCc2ccccc2)CC1)=O,0.938128,-21.07169
60,C1C(C(CCCC(C)C)C)C2(C)C(C3C(c4c(cc(O)cc4)CC3)CC2)C1,0.9378636,-21.409328
59,C(N1CCN(c2ccccc2OC)CC1)CCOc1c(CC)cc(C(C)=O)c(O)c1,0.937276,-28.728535
63,C1(=O)CC(c2cc(Cl)ccc2Br)CC(=O)C1C(OC)=O,0.93495506,-27.646389
