,smiles,score,likelihood
63,[N+](c1ccccc1C(=O)CN1CCC(C(OC)=O)CC1)(=O)[O-],1.0,-27.811813
63,O=[N+](c1c(NCC(c2ccccc2)=O)cc(N2CCN(S(C)(=O)=O)CC2)cc1)[O-],1.0,-26.897736
62,n1c2ncn(C)c2nc(Cl)c1Oc1c(F)cccc1,0.9871992,-32.404766
62,n1(C)c(C(NCc2cccc(OC)c2)=O)cc2c1CCc1sc(C)nc1-2,0.9777895,-26.420273
63,c12c(cc(F)cc1)nc(-c1ncn3c1CSc1ccccc1-3)[nH]2,0.9765027,-30.18364
59,O=C(c1ccc(S(=O)(=O)N2CC(C)CC(C)C2)cc1)N1CCN(c2ccccc2F)CC1,0.9736303,-23.99657
61,OCCN(CCO)c1nc(N2C3CCC2COC3)c2c3c(sc2n1)CCC3,0.97209424,-29.52533
60,c1(CNC(=O)CSCc2nc3n(nc(CC)s3)c(=O)c2)ccc(F)cc1,0.9700461,-24.984089
61,N1(C(NCCC)=O)CCC2C(CC1)S(=O)(=O)N(c1ccccc1)C2,0.96031743,-28.052925
63,c1c(Cl)ccc(-c2nn(CCC(OCC)=O)cc2C=NO)c1,0.9531994,-25.892513
60,c1c(CS(c2ccc(N3CCOCC3)cc2)(=O)=O)ccc(-c2ccccc2)c1F,0.9455315,-33.564697
60,c1(C)c(-c2sccn2)cc2c(c1)CCC(c1nccn1CCO)O2,0.943945,-39.22984
63,n1(C)c(-c2nnn(CC(O)=O)n2)cc2cc(S(=O)(=O)N3C(C)COCC3)ccc12,0.93945,-40.07583
60,c1cc(CC(C(CSCc2ccccc2Cl)=O)NC(C2N(C(C)=O)CCC2)=O)ccc1,0.937276,-28.47194
59,C1CN(C(c2nccnc2)=O)CC1NS(C)(=O)=O,0.93715847,-24.594166
59,N1(C(C(NC(=O)C23CC4CC(CC(C4)C2)C3)Cc2ccc(Cl)cc2)=O)CCCC1C(=O)N,0.93204653,-29.416553
62,c1ccc(OCCN2CCCC2)cc1CCc1ccccc1,0.9294024,-20.954308
57,C(=O)(Nc1ccc(C2CCC(N3S(=O)(=O)N(C)CC3)CC2)cc1)N1Cc2cnccc2C1,0.9280594,-29.178806
59,C1(c2cc(=NC(=O)c3ccc(Cl)cn3)[nH]cc2)CN(C(=O)c2ccc(C)c(-c3c(C)nc(C4CC4)[nH]3)c2)C1,0.92549926,-33.037872
56,c1(C(C(=O)NN=Cc2cc([N+]([O-])=O)cc([N+](=O)[O-])c2O)NC(c2ccc(F)cc2)=O)ccccc1,0.9235854,-31.682894
