Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
93.0,O=C(CNc1cccc(N2CCNCC2)c1)c1ccccc1,CS(=O)(=O)N1CCN(c2ccc([N+](=O)[O-])c(NCC(=O)c3ccccc3)c2)CC1,1.0,1.0,1.0,fine-tune predictive component HITL_0
43.0,O=C(CN1CCCCC1)c1ccccc1,COC(=O)C1CCN(CC(=O)c2ccccc2[N+](=O)[O-])CC1,1.0,1.0,1.0,fine-tune predictive component HITL_1
41.0,c1ccc(Oc2cnc3[nH]cnc3n2)cc1,Cn1cnc2nc(Oc3ccccc3F)c(Cl)nc21,0.9871991872787476,0.9871991872787476,0.9871991872787476,fine-tune predictive component HITL_2
45.0,O=C(NCc1ccccc1)c1cc2c([nH]1)CCc1scnc1-2,COc1cccc(CNC(=O)c2cc3c(n2C)CCc2sc(C)nc2-3)c1,0.9777895212173462,0.9777895212173462,0.9777895212173462,fine-tune predictive component HITL_3
46.0,c1ccc2c(c1)SCc1c(-c3nc4ccccc4[nH]3)ncn1-2,Fc1ccc2[nH]c(-c3ncn4c3CSc3ccccc3-4)nc2c1,0.9765027165412903,0.9765027165412903,0.9765027165412903,fine-tune predictive component HITL_4
63.0,O=C(c1ccc(S(=O)(=O)N2CCCCC2)cc1)N1CCN(c2ccccc2)CC1,CC1CC(C)CN(S(=O)(=O)c2ccc(C(=O)N3CCN(c4ccccc4F)CC3)cc2)C1,0.9736303091049194,0.9736303091049194,0.9736303091049194,fine-tune predictive component HITL_5
22.0,c1nc(N2C3CCC2COC3)c2c3c(sc2n1)CCC3,OCCN(CCO)c1nc(N2C3CCC2COC3)c2c3c(sc2n1)CCC3,0.9720942378044128,0.9720942378044128,0.9720942378044128,fine-tune predictive component HITL_6
40.0,O=C(CSCc1cc(=O)n2ncsc2n1)NCc1ccccc1,CCc1nn2c(=O)cc(CSCC(=O)NCc3ccc(F)cc3)nc2s1,0.9700461030006409,0.9700461030006409,0.9700461030006409,fine-tune predictive component HITL_7
63.0,O=S1(=O)C2CCNCCC2CN1c1ccccc1,CCCNC(=O)N1CCC2CN(c3ccccc3)S(=O)(=O)C2CC1,0.9603174328804016,0.9603174328804016,0.9603174328804016,fine-tune predictive component HITL_8
20.0,c1ccc(-c2cc[nH]n2)cc1,CCOC(=O)CCn1cc(C=NO)c(-c2ccc(Cl)cc2)n1,0.9531993865966797,0.9531993865966797,0.9531993865966797,fine-tune predictive component HITL_9
85.0,O=S(=O)(Cc1ccc(-c2ccccc2)cc1)c1ccc(N2CCOCC2)cc1,O=S(=O)(Cc1ccc(-c2ccccc2)c(F)c1)c1ccc(N2CCOCC2)cc1,0.9455314874649048,0.9455314874649048,0.9455314874649048,fine-tune predictive component HITL_10
67.0,c1c[nH]c(C2CCc3ccc(-c4nccs4)cc3O2)n1,Cc1cc2c(cc1-c1nccs1)OC(c1nccn1CCO)CC2,0.9439449906349182,0.9439449906349182,0.9439449906349182,fine-tune predictive component HITL_11
77.0,O=S(=O)(c1ccc2[nH]c(-c3nn[nH]n3)cc2c1)N1CCOCC1,CC1COCCN1S(=O)(=O)c1ccc2c(c1)cc(-c1nnn(CC(=O)O)n1)n2C,0.9394500255584717,0.9394500255584717,0.9394500255584717,fine-tune predictive component HITL_12
92.0,O=C(CSCc1ccccc1)C(Cc1ccccc1)NC(=O)C1CCCN1,CC(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)CSCc1ccccc1Cl,0.9372760057449341,0.9372760057449341,0.9372760057449341,fine-tune predictive component HITL_13
54.0,O=C(c1cnccn1)N1CCCC1,CS(=O)(=O)NC1CCN(C(=O)c2cnccn2)C1,0.937158465385437,0.937158465385437,0.937158465385437,fine-tune predictive component HITL_14
71.0,O=C(C(Cc1ccccc1)NC(=O)C12CC3CC(CC(C3)C1)C2)N1CCCC1,NC(=O)C1CCCN1C(=O)C(Cc1ccc(Cl)cc1)NC(=O)C12CC3CC(CC(C3)C1)C2,0.9320465326309204,0.9320465326309204,0.9320465326309204,fine-tune predictive component HITL_15
53.0,c1ccc(CCc2cccc(OCCN3CCCC3)c2)cc1,c1ccc(CCc2cccc(OCCN3CCCC3)c2)cc1,0.9294024109840393,0.9294024109840393,0.9294024109840393,fine-tune predictive component HITL_16
24.0,O=C(Nc1ccc(C2CCC(N3CCNS3(=O)=O)CC2)cc1)N1Cc2ccncc2C1,CN1CCN(C2CCC(c3ccc(NC(=O)N4Cc5ccncc5C4)cc3)CC2)S1(=O)=O,0.9280593991279602,0.9280593991279602,0.9280593991279602,fine-tune predictive component HITL_17
78.0,O=C(N=c1cc(C2CN(C(=O)c3cccc(-c4cnc(C5CC5)[nH]4)c3)C2)cc[nH]1)c1ccccn1,Cc1ccc(C(=O)N2CC(c3cc[nH]c(=NC(=O)c4ccc(Cl)cn4)c3)C2)cc1-c1[nH]c(C2CC2)nc1C,0.9254992604255676,0.9254992604255676,0.9254992604255676,fine-tune predictive component HITL_18
67.0,c1ccccc1,CC(=O)C(C#N)C(O)c1cccc(O)c1,0.9241142272949219,0.9241142272949219,0.9241142272949219,fine-tune predictive component HITL_19
5.0,O=C(NC(C(=O)NN=Cc1ccccc1)c1ccccc1)c1ccccc1,O=C(NC(C(=O)NN=Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O)c1ccccc1)c1ccc(F)cc1,0.9235854148864746,0.9235854148864746,0.9235854148864746,fine-tune predictive component HITL_20
64.0,c1ccc2c(c1)cc1ccccn12,CCN(CC)C(=O)Nc1cc(C(=O)NCCC(=O)O)c2cc3ccccn3c2c1,0.9229390621185303,0.9229390621185303,0.9229390621185303,fine-tune predictive component HITL_21
24.0,N=c1cc(-c2ccccc2)cc(-c2ccccn2)[nH]1,N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccccn2)[nH]c1=N,0.921658992767334,0.921658992767334,0.921658992767334,fine-tune predictive component HITL_22
