,smiles,score,likelihood
63,c1(CC)ccc(-c2cc(-c3n4c(nn3)cccc4)nc(-c3ccc(Cl)cc3)c2)cc1,1.0,-31.091694
62,c12c(ccc(Cl)c1)C1NCC2c2ccccc2C1,0.98870057,-22.939423
62,c1cccc(C2(c3ccccc3)NC(=O)N(C3CCN(Cc4ccc(Cl)cc4)CC3)C2)c1,0.98096246,-17.404644
63,CN1CCN(C2=Nc3cc(F)ccc3Nc3c2cn(CCCCC)n3)CC1,0.9807988,-22.889145
60,C(Oc1c(O)cccc1)C1CCN(CCc2ccccc2)CC1,0.98016924,-25.611017
60,N1(c2ccc(F)cc2)CCN(CCCCN2CC(=O)N3C(CCC3)C2=O)CC1,0.9718382,-22.371315
63,c1(C2=NCCNC2NC2c3ccc(F)cc3C2)c(OC)nccc1,0.96525425,-40.492065
63,C12N(C)CCC1c1c(cccc1)Cc1c3ccccc3[nH]c12,0.95601094,-25.924763
61,c1(C(F)(F)F)c(C2=CCN(C)CC2)cccc1F,0.95564973,-24.216297
61,FC(c1c(F)cc(N2CCN(C)CC2)cc1)(F)F,0.95545316,-23.041677
63,C(C1CCCN1S(=O)(c1ccc2ccccc2c1)=O)N1CCN(C)CC1,0.9546448,-25.085972
63,c1c(CN2CCN(C)CC2)cccc1OCCCNC(=NC#N)NCCCc1c[nH]cn1,0.94930875,-22.76418
61,C1CNCCN1CC1CCc2ccccc21,0.9474576,-21.286863
62,C1C(CN2CCN(CCCn3c(=O)oc4c3cccc4)CC2)C1,0.9470046,-22.836027
62,C1CN(CCn2c(Cc3ccc(O)cc3)nc3c4c(cccc4)sc3c2=O)CCC1Cc1c(F)cccc1F,0.94649255,-41.62883
60,C1Oc2c(cc(CCN3CCN(c4c(O)cccc4)CC3)cc2)O1,0.9431518,-22.81065
57,C(Oc1ccc(C(O)=O)cc1)C1CCN(CCc2c(C)cccc2)CC1,0.9418079,-29.092335
58,c1(Cl)cc(CN2CCN(C)CC2)ccc1OCCCN1CCCC1,0.9385246,-24.613012
61,[nH]1c(=Nc2ccc(N3CCN(C)CC3)cc2)nc(-c2sc(CC)nc2)cc1,0.9319209,-26.15807
60,c1ccccc1C1CCCN(Cc2c[nH]c(-c3ccccc3)n2)C1,0.9315177,-25.629848
