,smiles,score,likelihood
9,C(C1=NCCC(c2nc[nH]c2)C1)CCCN1CCN(c2ccc(F)cc2)CC1,0.48060185,-35.259674
31,N#Cc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl,0.4796299,-14.661358
27,c1n(C)c(CBr)cc1Br,0.4787334,-22.65682
11,O=C(C1CCC(CN)CC1)O,0.47831184,-16.98732
26,C1C(C)C(C(C)NC)C1,0.47758448,-25.216919
21,C1C(c2oc(=S)[nH]n2)CCC1,0.47713405,-18.214659
2,c1(=S)[nH]cnc2[nH]cnc12,0.4770961,-16.711876
31,C(O)(C(CC(C(O)=O)CCCN)N)=O,0.47686702,-23.016647
22,C12NC(C(O)=O)(CC1)CC2,0.47662318,-19.2231
8,c1ccc2c(c1)C(OCCN1CCCCC1)=Nc1c(cccc1)S2,0.47637984,-22.81575
12,c1cc2c(cc1)SCC(=O)N2CCCCN1CCN(c2ccc(Cl)cc2)CC1,0.47633705,-21.653002
14,C(COc1ccccc1N1CCN(CCCn2c(O)c3c(c2O)CCCC3)CC1)c1ccccc1,0.47612152,-28.331478
21,c1(-c2ccncc2)nnn(C)n1,0.47611985,-18.85463
5,c1cc(Cl)cc(N2CCN(CCCNC3CCCCC3)CC2)c1,0.47602862,-24.344702
28,C(CCCCCCCCCCC)CC[N+]1(C)CCCCCC1,0.4759917,-19.59425
3,C1(=O)C(=[N+]2C(C)CCCC2C)CCCC1,0.47597444,-29.547926
14,C1C(n2c(C3CCCN(CC4CCOCC4)C3)ccn2)CCOC1,0.47578105,-26.911833
2,c1cccc2c1NS(=O)(=O)N2C,0.47577015,-22.086071
15,c12c(ccs1)OCC(=O)N2CCCCN1CCN(c2ccc(Cl)cc2)CC1,0.4754124,-25.104183
13,C(C)CCCn1ccnc1C=CCCCCCCCC,0.47537667,-23.1434
