Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
2.0,O=C1CC(c2ccccc2)CC(=O)N1CCCN1CCN(c2ccccc2)CC1,O=C1CC(c2ccccc2)CC(=O)N1CCCN1CCN(c2ccc(Cl)cc2)CC1,0.4680975079536438,0.4680975079536438,0.4680975079536438,fine-tune predictive component HITL_0
25.0,c1ccc(-n2cc(CCCCN3CCN(C4CCCC4)CC3)c3ccccc32)cc1,Fc1ccc(-n2cc(CCCCN3CCN(C4CCCC4)CC3)c3cc(F)ccc32)cc1,0.46188440918922424,0.46188440918922424,0.46188440918922424,fine-tune predictive component HITL_1
12.0,c1ccc(CCN2CCC(Sc3ccccc3)CC2)cc1,Fc1ccc(SC2CCN(CCc3ccccc3)CC2)cc1,0.4544993042945862,0.4544993042945862,0.4544993042945862,fine-tune predictive component HITL_2
13.0,c1c[nH]cn1,CCCCCCCCCn1ccnc1,0.45139655470848083,0.45139655470848083,0.45139655470848083,fine-tune predictive component HITL_3
23.0,C1CCNCC1,NC(CN1CCCCC1)=NO,0.45059505105018616,0.45059505105018616,0.45059505105018616,fine-tune predictive component HITL_4
22.0,c1ccc(OCCCN2CCN(c3ccccc3)CC2)cc1,COc1cccc(N2CCN(CCCOc3ccc(Cl)cc3)CC2)c1,0.45022255182266235,0.45022255182266235,0.45022255182266235,fine-tune predictive component HITL_5
1.0,c1ccncc1,NCc1ccncc1,0.44967007637023926,0.44967007637023926,0.44967007637023926,fine-tune predictive component HITL_6
41.0,C1CCC(NCCCCN2CCCCCC2)CC1,CN(CCCCN1CCCCCC1)C1CCCCC1,0.4485979378223419,0.4485979378223419,0.4485979378223419,fine-tune predictive component HITL_7
22.0,,CCCCCC(O)CN,0.44443413615226746,0.44443413615226746,0.44443413615226746,fine-tune predictive component HITL_8
44.0,c1ccc(C(CCCCN2CCCCC2)c2ccccc2)cc1,NC(=O)C1CCN(CCCCC(c2ccccc2)c2ccccc2)CC1,0.4430248737335205,0.4430248737335205,0.4430248737335205,fine-tune predictive component HITL_9
17.0,c1ccc2c(C3CCNCC3)c[nH]c2c1,CN1CCC(c2c[nH]c3ccc(F)c(F)c23)CC1,0.4425625205039978,0.4425625205039978,0.4425625205039978,fine-tune predictive component HITL_10
25.0,c1ccc2sc(N3CCNCC3)nc2c1,CCN1CCN(c2nc3ccc(Cl)cc3s2)CC1,0.4409044682979584,0.4409044682979584,0.4409044682979584,fine-tune predictive component HITL_11
45.0,O=C(CCCN1CCC(c2ccccc2CN2CCNCC2)CC1)c1ccccc1,CN1CCN(Cc2ccccc2C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)CC1,0.44078508019447327,0.44078508019447327,0.44078508019447327,fine-tune predictive component HITL_12
39.0,S=c1[nH]c2ccc(OCCCN3CCCCC3)cc2[nH]1,S=c1[nH]c2ccc(OCCCN3CCCCC3)cc2[nH]1,0.4396536648273468,0.4396536648273468,0.4396536648273468,fine-tune predictive component HITL_13
34.0,c1cn2cc(-c3ccc(N4CCC(CCCN5CCCCC5)CC4)cc3)ncc2n1,COc1nc(-c2ccc(N3CCC(CCCN4CCCCC4)CC3)cc2)cn2ccnc12,0.4390278458595276,0.4390278458595276,0.4390278458595276,fine-tune predictive component HITL_14
39.0,,C=CC(O)CC(C)Br,0.4383138418197632,0.4383138418197632,0.4383138418197632,fine-tune predictive component HITL_15
12.0,C1CCc2sc3nc4c(nc3c2CC1)CCCC4,C1CCc2sc3nc4c(nc3c2CC1)CCCC4,0.43741241097450256,0.43741241097450256,0.43741241097450256,fine-tune predictive component HITL_16
49.0,c1ccc(CN2C3CCCCC3C3CCCN32)cc1,Fc1ccc(CN2C3CCCCC3C3CCCN32)cc1,0.437200129032135,0.437200129032135,0.437200129032135,fine-tune predictive component HITL_17
45.0,c1ccc(C(c2nnn[nH]2)N2CCN(C3CCCCC3)CC2)cc1,CCCCn1nnnc1C(c1cccc(F)c1)N1CCN(C2CCCCC2)CC1,0.4367576241493225,0.4367576241493225,0.4367576241493225,fine-tune predictive component HITL_18
0.0,,NC(=O)C(N)CCCN=C(N)N,0.43615639209747314,0.43615639209747314,0.43615639209747314,fine-tune predictive component HITL_19
40.0,c1ccc(N2CCN(Cc3cn(C4CCCC4)c4ccccc34)CC2)cc1,FC1(F)CCC(n2cc(CN3CCN(c4ccccc4)CC3)c3ccccc32)C1,0.4360082149505615,0.4360082149505615,0.4360082149505615,fine-tune predictive component HITL_20
21.0,O=C1NC(=O)C2(N1)C1CCC2CC1,O=C1NC(=O)C2(N1)C1CCC2C(O)C1,0.43572142720222473,0.43572142720222473,0.43572142720222473,fine-tune predictive component HITL_21
21.0,c1ccc2c(c1)CC1CCNC21,CN1CCC2C(N)c3ccccc3C21,0.4351332187652588,0.4351332187652588,0.4351332187652588,fine-tune predictive component HITL_22
42.0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(=O)C(c2ccc(Cl)cc2)(c2ccc(Cl)cc2)N1,0.43491557240486145,0.43491557240486145,0.43491557240486145,fine-tune predictive component HITL_23
