Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
18.0,O=c1c2cnn(-c3ccccc3)c2nc(CN2CCOCC2)n1-c1ccccc1,COc1ccc(-n2c(CN3CCOCC3)nc3c(cnn3-c3ccccc3)c2=O)cc1OC,0.49659043550491333,0.49659043550491333,0.49659043550491333,fine-tune predictive component HITL_0
37.0,O=c1nc(-c2ccccc2)[nH]c2c1CN(CCc1ccc(-c3ccccc3)cc1)C2,COc1ccc(-c2ccc(C(C)C(C)N3Cc4[nH]c(-c5cc(OC)c(OC)c(OC)c5)nc(=O)c4C3)cc2F)cc1,0.4961988031864166,0.4961988031864166,0.4961988031864166,fine-tune predictive component HITL_1
15.0,N=c1[nH]ccc2ccc(-n3c(=O)[nH]c4cccnc43)cc12,Cc1c[nH]c(=N)c2cc(-n3c(=O)[nH]c4cccnc43)c(F)cc12,0.49603062868118286,0.49603062868118286,0.49603062868118286,fine-tune predictive component HITL_2
44.0,O=C(Cc1cc(CN2CCOCC2)cn(Cc2ccccc2)c1=O)NCc1ccc2c(c1)OCO2,Cc1c(C(O)N2CCOCC2)cc(CC(=O)NCc2ccc3c(c2)OCO3)c(=O)n1Cc1ccccc1,0.49597418308258057,0.49597418308258057,0.49597418308258057,fine-tune predictive component HITL_3
23.0,O=C(Nc1ccc2nn(-c3ccccc3)nc2c1)c1ccccc1,COc1ccc(-n2nc3ccc(NC(=O)c4ccc(OC)c(OC)c4)cc3n2)cc1,0.4959629476070404,0.4959629476070404,0.4959629476070404,fine-tune predictive component HITL_4
0.0,O=C1C(=O)N(CN2CCN(c3ccc(-c4ccccn4)cc3)CC2)c2ccccc21,O=C1C(=O)N(CN2CCN(c3ccc(-c4ccccn4)c(Cl)c3)CC2)c2ccc(Cl)cc21,0.49595507979393005,0.49595507979393005,0.49595507979393005,fine-tune predictive component HITL_5
22.0,c1ccc2[nH]c(CN3CCCC3)nc2c1,NS(=O)(=O)c1ccc2c(c1)nc(CN1CCCC1)n2CCCCCF,0.49579960107803345,0.49579960107803345,0.49579960107803345,fine-tune predictive component HITL_6
35.0,O=C(CCCc1nc(-c2ccccc2)no1)NCc1ccccc1,Cc1ccccc1CNC(=O)CCCc1nc(-c2ccc(Cl)cc2Cl)no1,0.49578648805618286,0.49578648805618286,0.49578648805618286,fine-tune predictive component HITL_7
13.0,C(=NN=c1[nH]c(=Nc2ccccc2)[nH]c(=Nc2cccc(-c3ccccc3)c2)[nH]1)c1c[nH]c2ccccc12,COc1ccc(N=c2[nH]c(=NN=Cc3c[nH]c4ccccc34)[nH]c(=Nc3cccc(-c4ccccc4)c3)[nH]2)cc1,0.49576908349990845,0.49576908349990845,0.49576908349990845,fine-tune predictive component HITL_8
15.0,c1ccc(-c2ccc(-c3n[nH]c4c3Cc3ccc(N5CCn6cccc6C5)cc3-4)s2)cc1,Cc1cc2n(c1C)CCN(c1ccc3c(c1)-c1[nH]nc(-c4ccc(-c5ccc(O)cc5)s4)c1C3)C2,0.49567970633506775,0.49567970633506775,0.49567970633506775,fine-tune predictive component HITL_9
