,smiles,score,likelihood
24,C(N1CCCC1)CC1N(C)CCC1,0.47914723,-19.2417
30,OC(C)(C(O)O)C(C)O,0.47861966,-28.357351
28,OC1CNC(C)CC1O,0.47858405,-19.39876
7,C(CN(N)C=O)#C,0.47829777,-23.331076
30,C(CCCCCCC)CC[N+](C)(CCCCCCCCCCCCCC)C,0.47828102,-19.890743
16,c1c(N2CCN(C)CC2)ccc(SC)c1,0.4773552,-18.988255
4,C1(=O)NC(=O)NC(=O)C1(CCC)CCC,0.47733876,-17.456959
14,c1cc(F)ccc1N1CCN(CCCCn2cc(-c3ccc(-c4ccccc4)cc3)nn2)CC1,0.4769998,-22.135635
1,C1(=O)C(C)CCO1,0.4763866,-18.883686
27,C(=C)CC1COCCN1C,0.47583017,-24.748886
12,C1N(c2ccc(Cl)cc2)CCN(CCC2C(=O)c3c(cccc3)C2=O)C1,0.47580642,-23.041466
27,c1cc(C=NN=Cc2ccc(O)cc2)ccc1O,0.47558177,-18.546501
28,N(OC)CCC#CCCCC#N,0.47542286,-27.88508
21,C1CN(C)CCN1C1CCN(C(=O)CCC(=O)O)CC1,0.4753179,-24.335075
13,c1(CN2CCC(Oc3ccc(CN4CCCC4)cc3)CC2)ccccc1,0.4752312,-19.568472
7,C1c2c(cccc2)N(CCO)CC1,0.4751317,-20.91304
27,C(C(O)=O)C1CC(N)CN1,0.47467744,-25.466257
20,N1(CC#C)CC2(CCOCC2)OCC1,0.47443476,-23.059038
11,C1N(CC2CCCCC2)CCCC1N1CCOCC1,0.4743902,-22.249767
9,c1c(Cl)cc(N2CCCCC2)cc1Cl,0.47435588,-21.578796
