Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
30.0,O=C1C(Cn2cnc(Cc3ccccc3)n2)OCCN1c1ccccc1,COc1cc(F)cc(OC)c1Cc1ncn(CC2OCCN(c3ccc(C(F)(F)F)cc3)C2=O)n1,0.49625059962272644,0.49625059962272644,0.49625059962272644,fine-tune predictive component HITL_0
47.0,O=C(NC1CCCC1N=c1cncc[nH]1)c1ccccc1C1CC1,COc1cccc(C2CC2)c1C(=O)NC1CCCC1N=c1cnc(C(F)(F)F)c[nH]1,0.4961719214916229,0.4961719214916229,0.4961719214916229,fine-tune predictive component HITL_1
46.0,O=C(NCCCCN1CCC(c2cccc3ccccc23)CC1)c1ccc(-c2ccccc2)cc1,O=C(NCCCCN1CCC(c2cccc3ccccc23)CC1)c1ccc(-c2cc(Cl)ccc2Cl)cc1,0.4958397448062897,0.4958397448062897,0.4958397448062897,fine-tune predictive component HITL_2
49.0,O=C1c2ccc(CN3CCOCC3)cc2C(=O)c2nc3ccccc3cc21,COc1cccc2nc3c(cc12)C(=O)c1ccc(CN2CCOCC2)cc1C3=O,0.49576467275619507,0.49576467275619507,0.49576467275619507,fine-tune predictive component HITL_3
3.0,O=c1[nH]c(=O)c2c(=O)[nH]c(=O)n(CCCN3CCN(c4ccccc4)CC3)c2[nH]1,O=c1[nH]c(=O)c2c(=O)[nH]c(=O)n(CCCN3CCN(c4ccc([N+](=O)[O-])cc4)CC3)c2[nH]1,0.4956715703010559,0.4956715703010559,0.4956715703010559,fine-tune predictive component HITL_4
3.0,O=C(NC1(C(=O)Nc2ccccc2)CC1)c1ccc(C2CC2)cn1,CC(=O)Nc1cccc(NC(=O)C2(NC(=O)c3cc(OCC(F)(F)F)c(C4CC4)cn3)CC2)c1,0.4956037998199463,0.4956037998199463,0.4956037998199463,fine-tune predictive component HITL_5
18.0,c1nc2ncc3c(n2n1)CCN(CC1CCC1)CC3,FC(F)(F)c1nc2ncc3c(n2n1)CCN(CC1CCC1)CC3,0.49560075998306274,0.49560075998306274,0.49560075998306274,fine-tune predictive component HITL_6
13.0,c1ccc2c(N3CCCCC3)ncnc2c1,COc1cc2ncnc(N3CCC(N(C)C)CC3)c2cc1O,0.49556833505630493,0.49556833505630493,0.49556833505630493,fine-tune predictive component HITL_7
24.0,N=c1cc[nH]c2ccccc12,COc1cc2[nH]ccc(=N)c2cc1OC,0.49553751945495605,0.49553751945495605,0.49553751945495605,fine-tune predictive component HITL_8
20.0,O=C(N=c1nn[nH][nH]1)c1ccc(NC(=O)c2ccccc2)cc1,O=C(N=c1nn[nH][nH]1)c1ccc(NC(=O)c2ccccc2O)cc1,0.49549585580825806,0.49549585580825806,0.49549585580825806,fine-tune predictive component HITL_9
44.0,O=C1NCN(c2ccccc2)C12CCN(C1CCCc3ccccc31)CC2,O=C1NCN(c2ccccc2)C12CCN(C1CCCc3ccccc31)CC2,0.4954795837402344,0.4954795837402344,0.4954795837402344,fine-tune predictive component HITL_10
26.0,C(=Nc1ccc(Oc2ccccc2)cc1)c1cccs1,NC(N)=NCCCCCCCCC(=O)N=C(N)c1ccc(Oc2ccc(N=C(N)c3cccs3)cc2)cc1,0.4954138696193695,0.4954138696193695,0.4954138696193695,fine-tune predictive component HITL_11
33.0,C(=C1CCCC2C1=NN(c1ccccc1)C2c1ccccc1)c1ccccc1,NS(=O)(=O)c1ccc(N2N=C3C(=Cc4ccc(Cl)cc4)CCCC3C2c2ccccc2Cl)cc1,0.495413213968277,0.495413213968277,0.495413213968277,fine-tune predictive component HITL_12
20.0,O=C(c1cc(=O)oc2ccccc12)C1CCc2cc(Cc3ccccc3)ccc2O1,COC(=O)OC1CC(C(=O)c2cc(=O)oc3c(OC)cccc23)Oc2cc(Cl)c(Cc3ccc(C)cc3)cc21,0.4953572154045105,0.4953572154045105,0.4953572154045105,fine-tune predictive component HITL_13
24.0,O=C(COC(=O)c1ccco1)NC1CCCCC1,CC1CCCC(NC(=O)C(C)OC(=O)c2ccc([N+](=O)[O-])o2)C1,0.49535447359085083,0.49535447359085083,0.49535447359085083,fine-tune predictive component HITL_14
23.0,O=c1oc(-c2ccccc2N2CCCCC2)nc2ccccc12,CCc1cc(OC)cc2nc(-c3cc(F)c(F)cc3N3CCC(N(C)C)CC3)oc(=O)c12,0.49535059928894043,0.49535059928894043,0.49535059928894043,fine-tune predictive component HITL_15
25.0,O=C1CC(c2ccccc2)CC2=NC=CC(c3ccccc3)C12,COC(=O)C1=C(C)N=C2CC(c3ccc(OC)cc3)CC(=O)C2C1c1ccccc1Cl,0.4953249990940094,0.4953249990940094,0.4953249990940094,fine-tune predictive component HITL_16
6.0,c1ccc(N=c2nc(-c3ccccc3)cc[nH]2)cc1,NS(=O)(=O)c1ccc(N=c2nc(-c3ccc(C(F)(F)F)cc3)cc[nH]2)cc1,0.4953244626522064,0.4953244626522064,0.4953244626522064,fine-tune predictive component HITL_17
8.0,O=S(=O)(Nc1cn[nH]c1)c1cccc(-c2ccccc2)c1,COC(=O)c1cccc(-c2ccc(OC)c(S(=O)(=O)Nc3c(C)nn(C)c3C)c2)c1,0.49530720710754395,0.49530720710754395,0.49530720710754395,fine-tune predictive component HITL_18
34.0,O=C(NCC1CCC(CN(c2ccccn2)S(=O)(=O)c2ccccc2)CC1)Nc1ccccc1,COc1cccc(NC(=O)NCC2CCC(CN(c3ncc(Cl)cc3Cl)S(=O)(=O)c3ccc(Cl)cc3)CC2)c1,0.4952912926673889,0.4952912926673889,0.4952912926673889,fine-tune predictive component HITL_19
36.0,O=C1N(c2ccccc2)C=NC12CCCCCC21Cc2ccccc21,COc1ccc(N2C(=O)C3(CCC(OC)CCC34Cc3ccc(C#N)cc34)N=C2N)cc1,0.4952855110168457,0.4952855110168457,0.4952855110168457,fine-tune predictive component HITL_20
5.0,O=C(CCCCC1CCSS1)NCCCC(=O)Nc1ccc(CNc2ccccc2)cc1,COc1ccccc1N(Cc1ccc(NC(=O)CCCNC(=O)CCCCC2CCSS2)cc1)C(=O)OC(C)(C)C,0.49526625871658325,0.49526625871658325,0.49526625871658325,fine-tune predictive component HITL_21
17.0,C1=NC2(CCCC2)Nc2cc3c(cc21)CCC3,COCc1c2c(cc3c1CCC3)NC1(CCCC1)N=C2,0.49526432156562805,0.49526432156562805,0.49526432156562805,fine-tune predictive component HITL_22
29.0,O=C1C(c2ccccc2)=C(N2CC2)C(=O)c2ccccc21,CC1CN1C1=C(c2ccccc2)C(=O)c2ccccc2C1=O,0.495263934135437,0.495263934135437,0.495263934135437,fine-tune predictive component HITL_23
33.0,O=C1NS(=O)(=O)c2ccccc21,C=CC(C=CC=CCCCCCC)N1C(=O)c2cc(F)cc(F)c2S1(=O)=O,0.495248019695282,0.495248019695282,0.495248019695282,fine-tune predictive component HITL_24
45.0,N=c1nc(C(=O)NCc2ccccc2)c2cc[nH]c2[nH]1,N#Cc1c[nH]c2[nH]c(=N)nc(C(=O)NCc3ccc(F)cc3)c12,0.49521228671073914,0.49521228671073914,0.49521228671073914,fine-tune predictive component HITL_25
20.0,O=C(Cn1nc(-c2ccccc2)ccc1=O)NCc1ccccc1,COc1ccc(CNC(=O)Cn2nc(-c3ccccc3F)ccc2=O)c(OC)c1,0.4951944649219513,0.4951944649219513,0.4951944649219513,fine-tune predictive component HITL_26
25.0,O=c1[nH]c2nc(N3CCCCC3)n(Cc3ccc4c(c3)OCO4)c2c(=O)n1CCN1CCN(c2ccccn2)CC1,CC1CCN(c2nc3c(c(=O)n(CCN4CCN(c5ccccn5)CC4)c(=O)n3C)n2Cc2ccc3c(c2)OCO3)CC1,0.49515002965927124,0.49515002965927124,0.49515002965927124,fine-tune predictive component HITL_27
44.0,c1ccc(N2CCC3CNCC32c2ccccc2)cc1,Fc1ccc(C23CNCC2CCN3c2ccc(C(F)(F)F)cc2)cc1,0.4951445460319519,0.4951445460319519,0.4951445460319519,fine-tune predictive component HITL_28
21.0,O=c1[nH][nH]c2c1CCS2,CC1(C)Sc2[nH][nH]c(=O)c2C1C#N,0.49508100748062134,0.49508100748062134,0.49508100748062134,fine-tune predictive component HITL_29
14.0,O=C(C=Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)Nc1ccccc1,O=C(C=Cc1ccc(S(=O)(=O)N2CCOCC2)cc1)Nc1ccccc1C(F)(F)F,0.49507275223731995,0.49507275223731995,0.49507275223731995,fine-tune predictive component HITL_30
0.0,O=C1CC(c2ccccc2)Oc2ccccc21,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,0.4950653910636902,0.4950653910636902,0.4950653910636902,fine-tune predictive component HITL_31
39.0,O=C1NCC(c2ccccc2)O1,O=C1NC(CO)C(c2ccc(O)c(O)c2)O1,0.4950374662876129,0.4950374662876129,0.4950374662876129,fine-tune predictive component HITL_32
42.0,c1ccc(OC2CN(c3cc(-c4cccnc4)ccn3)C2)cc1,COc1cncc(-c2cc(N3CC(Oc4cc(C)ccc4Cl)C3)ncc2OC)c1,0.4950072169303894,0.4950072169303894,0.4950072169303894,fine-tune predictive component HITL_33
8.0,N=c1[nH]cnc2c1c(-c1ccccc1)nn2Cc1ccnn1CC1CCC1,COC1CC(Cn2nc(C)cc2Cn2nc(-c3cccc(Cl)c3)c3c(=N)[nH]cnc32)C1,0.4949786961078644,0.4949786961078644,0.4949786961078644,fine-tune predictive component HITL_34
49.0,c1ccccc1,CCNS(=O)(=O)NCc1cc(OC)c(OC)c(OC)c1,0.4949681758880615,0.4949681758880615,0.4949681758880615,fine-tune predictive component HITL_35
41.0,O=S(=O)(c1ccc(C23CCC(CC2)N(CC2CC2)CC3)cc1)c1ccc2cc[nH]c2c1,O=S(=O)(c1ccc(C23CCC(C(O)C2)N(CC2CC2)CC3)cc1)c1ccc2cc[nH]c2c1,0.4949319660663605,0.4949319660663605,0.4949319660663605,fine-tune predictive component HITL_36
1.0,O=C1CC(c2ccccc2)C2=C(CC(c3ccccc3)CC2=O)O1,O=C1CC(c2ccc(F)cc2)C2=C(CC(c3ccccc3)CC2=O)O1,0.4949314594268799,0.4949314594268799,0.4949314594268799,fine-tune predictive component HITL_37
21.0,O=c1cc(-c2ccccc2)oc2ccccc12,COc1cc2oc(-c3cc(OC)c(OC)c(OC)c3)cc(=O)c2cc1CCO,0.49492916464805603,0.49492916464805603,0.49492916464805603,fine-tune predictive component HITL_38
40.0,O=c1cc(-c2n[nH]c3nc(-c4ccccc4)[nH]c(=O)c23)[nH]c2[nH]ncc12,Cc1nn(C)c2[nH]c(-c3nn(CC(C)C)c4nc(-c5ccc(N(C)C)cc5)n(C)c(=O)c34)cc(=O)c12,0.4949204623699188,0.4949204623699188,0.4949204623699188,fine-tune predictive component HITL_39
