,smiles,score,likelihood
1,c1c(N2CCN(CCCCNC(=O)c3ccc(C#Cc4ccccc4)cc3)CC2)scc1,0.45546097,-27.429607
17,c12nc(N3CCN(CCCCOc4cc5c(cc4)CCC5)CC3)ccc1[nH]cc2C1CCN(C)CC1,0.45063633,-31.968052
22,N1CCC(c2c3ccccc3[nH]c2)CC1,0.44966006,-19.220974
14,C1N(CCOCC(O)=O)CCC1O,0.44936588,-26.461464
26,C1N(C)C(=O)C2(SC(=O)CC2C)C1,0.44931275,-28.88948
24,N12CCC(CC1)N=C2c1ccccc1,0.4492073,-19.959677
2,Clc1c(Cl)ccc(Sc2c(Cl)cc(Cl)cc2)c1,0.44880423,-22.569332
21,N(CCCCNC(=O)C(CO)N)CCCN,0.44759256,-21.596258
20,c1(-c2ccccc2)[nH]c2c(c1)cccc2,0.44666815,-18.353233
14,C1CN(c2cccc(Cl)c2)CCN1CCC1(C)c2c(cc(O)cc2)CCC1,0.44652718,-23.902843
23,C(CCCCCC)CCCCCC(CCCCCCCCC)=O,0.44593367,-21.441149
15,c1(C)nnc(N2Cc3n(cc(CN4CCN(C)CC4)n3)CC2)s1,0.4454049,-22.88113
31,c1(Cl)c(O)cc(Cl)c2c1CCN(Cc1ccc(Cl)cc1)C2,0.44507036,-23.477509
9,c1c(N2Cc3c(c(Cl)ccc3)C2=S)c(Cl)ccc1,0.44443268,-26.062607
27,c1c(OCCn2ccnc2)ccc(Cl)c1,0.44393528,-16.909462
10,N1(C(SCCl)=S)CCCCCC1,0.44263262,-22.558287
4,C1SC(=Nc2ccc(Cl)cc2)NCC1,0.44251308,-18.151539
15,O(CCN1CC(NC(=O)c2cc(Cl)c(Cl)cc2)CC1)c1ccc(Cl)cc1,0.4412648,-25.99127
26,Clc1ccc(C(NC2COC2)c2cc(Cl)ccc2)cc1,0.44038737,-27.16215
4,c1c(C=O)ccnc1,0.44037503,-15.59596
