,smiles,score,likelihood
16,c1c(CCCCCCCC)ccc(CCO)c1,0.1795833,-19.747787
7,C1COCCN1C(=O)C=C(C(Cl)Cl)Cl,0.10585155,-26.659113
11,NCC(CCCC(CCCN=C(N)N)N)=NCCCOCCCC,0.056665726,-34.57079
20,n1n2c(nc(-c3ccc(OC)cc3)c2)ccc1N1CCOCC1,0.03516822,-21.006096
21,c1(C(C)(c2cccc(O)c2)C)ccc(N(CC)CC)cc1,0.03360783,-24.732021
12,C(Cn1c(-c2c(C)[nH]cn2)ncc1C)Oc1ccc(OC)cc1,0.033107296,-32.54151
13,O=C(OC(C1OC(=O)Cc2c1cc(OC)c(OC)c2)c1ccc(OC)cc1)C,0.027465373,-31.681667
6,c1(NC2CCCCC2)n2cccc(C)c2nc1-c1ccc2c(c1)OCCO2,0.016348016,-25.619963
10,C(N(C(=O)c1ccc(C)cc1)CCC1c2ccccc2C=C1)(C(OC)=O)(CO)C,0.015540401,-45.03874
24,c1(C(C)(C)C)ccc(C(NC2CCN(Cc3cc(OC)c(OC)cc3)CC2)=O)cc1,0.013534249,-23.212177
3,c1c(Cn2c3c(nc2)cccc3)oc(C(=O)Nc2c(OCC)cccc2)c1,0.013490856,-27.667168
14,[N+](=O)([O-])c1cc(-c2nnc(CN3CCOCC3)o2)ccc1,0.013026743,-24.608498
27,c1ccc(Oc2ccc(-c3c4c(=N)[nH]ccn4c(C4CC(O)(C)C4)n3)c(C)c2)cc1,0.011144928,-22.361242
15,c1c2oc(=O)c(C)c(C)c2c(OCC(=O)N(C)C2CS(=O)(=O)CC2)cc1C,0.010994287,-25.822153
0,c1cc(OC)ccc1COc1ccc(C=C(C)[N+]([O-])=O)cc1OC,0.01075738,-25.04205
1,c1(Cl)cc2c(c(Cl)c1)sc(=NC(C1=C(C)CC=CC1C)=O)n2CCCC,0.010458145,-41.353558
18,C1CC2C(C(C)O)C(=O)N2C(C(=O)O)=C1C1Oc2ccccc2OC1,0.009862617,-29.354237
29,COc1ccc(C(C#Cc2cc3c(cc2)OC(C(O)C)(CO)C(=O)N3c2ccc(F)c(Cl)c2)C)cc1F,0.009179913,-47.83091
19,c1c2n(CCF)c3c(c2cc(C(N(CCN(C)C)C)=O)c1)nnc(-c1ccccc1)c3,0.007984776,-33.4262
31,c1c(C2=NC(SC(=O)NCC)C(C=C)(C)C2C(=O)N)cc(Cl)cc1,0.0062374133,-38.915924
