,smiles,score,likelihood
7,N1C(CO)C(O)C(O)C1CO,0.47344798,-15.057072
41,O1C(CO)C(O)C(O)C(O)C1CO,0.47224963,-14.7702675
16,C1C2CNCC(O2)CN1,0.47205946,-22.256859
38,C1CCN(CC#C)CC1,0.47197038,-17.12629
12,C(N)CCC[N+](C)(C)C,0.47092226,-20.374104
11,C1CCCCC1N1CCN(CCC)CC1,0.47067368,-20.55432
6,C(CC(C)C)CCCCCCCCCCCCCC,0.46932793,-19.466438
22,C1C2CC3CC1(N=[N+]=[N-])CC(C3)C2,0.4693044,-16.617405
56,C1CC1C#CCC(C)C,0.468952,-23.620024
10,C(C(=O)CCl)N1CCN(C)CC1,0.4686553,-22.008934
37,c1cc(C#N)ccn1,0.46804878,-14.623745
57,C1CCCN(CC)C1C,0.46796373,-19.658257
42,C1(c2ccccc2)CCN(C)CC1,0.4679573,-17.088139
0,C(=O)(O)C1NCCC1,0.46782732,-17.206066
0,C1(OCC=C)C(O)C(O)C(O)C=C1,0.46780473,-22.62501
30,c12cccc(O)c1CCC(N(CCC)CCC)C2,0.46779174,-15.563898
35,CC1(C)C2CCC1(C)C2Br,0.46777087,-22.972666
6,c1n(C)ccn1,0.4676071,-15.641207
37,c1c(CO)[nH]cn1,0.46721,-19.364977
40,[N-]=[N+]=NC1=NCCC1C,0.46711373,-22.050451
