,smiles,score,likelihood
45,FC(C(=C(Cl)Cl)Cl)(F)F,0.46724352,-19.844742
52,OC(=O)C=CC(=O)O,0.46695274,-16.324245
51,[N+]1([O-])(C)CCCC1,0.46496528,-19.668184
41,C1(O)C(O)CNC1C,0.46419352,-17.59716
22,C1C=C1C#C,0.46313897,-23.047731
7,C1(=O)C2CCCCC2C(=O)C1,0.4620372,-20.924072
19,C1CC2CCC1NC2C,0.4617296,-21.074406
40,O=C1NC(=N)SS1,0.46142802,-20.11092
2,[nH]1cnc(CC)n1,0.46059376,-16.72313
25,C(CNCCCCCNCC)CNCC,0.46041805,-18.580145
63,C(C(C#N)=C)N(C)O,0.4597711,-26.219795
17,C1c2c(cccc2)CC12Cc1ccccc1C2,0.45971745,-19.755293
28,C1=CC(O)C2OCOC2C1O,0.4596417,-21.501959
43,C(CC(C)O)CCCC,0.45963323,-19.22459
29,C1CCCCCC1N(CCC)CCC,0.45867997,-20.96892
44,S(C)c1n2c(nn1)CCC2,0.45822942,-19.047718
16,C1CCCCCc2c(O)ccc(O)c21,0.4578622,-20.577372
21,CCN(C(=S)S)CCCC,0.45780018,-18.58147
54,N1C(O)C(C)NC1=O,0.45726776,-21.029367
11,C1C(c2ccc(CN)cc2)CCC1,0.45724806,-19.03928
