,smiles,score,likelihood
56,c1ccc(N2CCN(CC(CN3CCc4ccccc43)O)CC2)c(OC)c1,0.40308505,-21.29393
47,C1CC2CCCCC21,0.40167186,-21.433681
50,C1N(C)CCN(C2CCCC2)CC1,0.39457324,-21.219284
49,OC1CCN(CCCCCCCCCCCCN2CCCCC2)CC1,0.39074436,-23.336277
29,N1(C)CCC(CCN2CCCCC2)=CC1,0.38822496,-24.230785
12,S=C=NCCCCN1CCCC1,0.38779938,-19.945618
25,OC1C(CO)SC(O)C1O,0.387725,-20.346003
46,C1CN(c2c(OC)cccc2)CCN1CCCN1CCN(c2ccccc2)CC1,0.3874133,-19.797958
31,C1N(CCCOc2ccccc2SC)CCC1,0.3858444,-21.326714
53,C1NC(Cl)C(Cl)C1,0.3847445,-21.941946
20,c1ccccc1CCCCN1CCN(C)CC1,0.38262996,-18.363506
44,c12cc(OCCCN3CCN(c4ccccc4OC)CC3)ccc1CCC(=O)N2,0.382177,-19.094265
40,C1C2CCC(C)(C1(C)C)C2N,0.38190752,-20.499706
23,C(C(C)C)(N)C(O)O,0.3816735,-21.07213
4,c1(Cl)ccccc1N1CCN(Cc2ccc(F)cc2)CC1,0.38023797,-20.443308
44,C12=NCCCN1S(=O)(=O)N(CCCN1CCN(c3ccccc3OC)CC1)C2,0.37983257,-27.230633
20,c1(C=Cc2ccc(N)cc2)ccc(SC)cc1,0.37956116,-18.86152
18,c1(C2CCN(CCc3ccccc3)CC2)cc(O)ccc1,0.37921044,-19.912178
41,c1cccc(OC(C)C)c1N1CCN(CCOc2ccc(Cl)cc2)CC1,0.37853,-24.762623
24,C1N(CCOc2ccc(F)cc2)CCCC1,0.37703717,-19.595953
