Step,Scaffold,SMILES,Human-Component,raw_Human-Component,total_score,ID
31.0,,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C,0.473734587430954,0.473734587430954,0.473734587430954,fine-tune predictive component HITL_0
59.0,,CNCC(C)N,0.472661554813385,0.472661554813385,0.472661554813385,fine-tune predictive component HITL_1
95.0,C1C2C3C4C2C4C12CC32,C1C2C3C4C2C4C12CC32,0.4722827076911926,0.4722827076911926,0.4722827076911926,fine-tune predictive component HITL_2
61.0,,NC(=O)CCCCCO,0.47172826528549194,0.47172826528549194,0.47172826528549194,fine-tune predictive component HITL_3
76.0,C1CNCCN1,CCCCCCCCCCCN1CCN(C)CC1,0.4705313742160797,0.4705313742160797,0.4705313742160797,fine-tune predictive component HITL_4
30.0,,O=C(O)CCCCCCCCCCCCCO,0.4705294370651245,0.4705294370651245,0.4705294370651245,fine-tune predictive component HITL_5
52.0,,NCCC(N)C(=O)O,0.470039039850235,0.470039039850235,0.470039039850235,fine-tune predictive component HITL_6
80.0,,CC[N+](C)(C)CCCCCCCCCCCCCCCCCO,0.4697602391242981,0.4697602391242981,0.4697602391242981,fine-tune predictive component HITL_7
72.0,C1CCOCC1,OCC1OC(O)C(O)C(O)C1O,0.46935850381851196,0.46935850381851196,0.46935850381851196,fine-tune predictive component HITL_8
3.0,c1ccccc1,Nc1cc(Br)cc(Br)c1,0.46925464272499084,0.46925464272499084,0.46925464272499084,fine-tune predictive component HITL_9
37.0,C1CC2(CC3CCC2C3)N1,C1CC2(CC3CCC2C3)N1,0.4690687656402588,0.4690687656402588,0.4690687656402588,fine-tune predictive component HITL_10
27.0,C1CC2CC1OO2,C=CC1CC2CC1OO2,0.4690156877040863,0.4690156877040863,0.4690156877040863,fine-tune predictive component HITL_11
70.0,,CCC(C)(C)[N+](=O)[O-],0.46891629695892334,0.46891629695892334,0.46891629695892334,fine-tune predictive component HITL_12
93.0,C1COCCSC1,C1COCCSC1,0.46886274218559265,0.46886274218559265,0.46886274218559265,fine-tune predictive component HITL_13
54.0,C1CCC(CN2CCCCCC2)CC1,C1CCC(CN2CCCCCC2)CC1,0.46885377168655396,0.46885377168655396,0.46885377168655396,fine-tune predictive component HITL_14
10.0,O=S1(=O)CCC(CN2CCNCC2)N1,CN1CCN(CC2CCS(=O)(=O)N2C)CC1,0.4686998426914215,0.4686998426914215,0.4686998426914215,fine-tune predictive component HITL_15
7.0,,NCCCCC(N)C(N)=O,0.46854203939437866,0.46854203939437866,0.46854203939437866,fine-tune predictive component HITL_16
