,smiles,score,likelihood
13,C1(=N)OCC(c2c(F)cc(OC)cc2)N1,0.48372555,-20.789747
72,C(N(C)C)(=S)S,0.48287228,-15.941717
7,O(c1c(OC)c(OC)cc(C=C(c2ccc(O)c(O)c2)C)c1)C,0.48208472,-24.061703
28,c1(F)c(C(O)(Cn2ncnc2)CN(CC2=CCC3C(C)(C)C2C3)C)ccc(F)c1,0.47986135,-27.29641
35,c1(Br)cc2c(cc1O)CC(CCc1ccccc1)O2,0.47909984,-23.71511
56,c1cc(C(c2ccccc2)N2CC3(C)CC(C)(C)CC2C3)ccc1,0.47772193,-19.966639
76,[nH]1c(=O)n2c(cc3c2ccc(O)c3)[nH]c1=O,0.4772751,-28.471113
16,C1N(S(=O)(=O)c2sc(Cl)cc2)CCCc2c1cccc2,0.47660807,-22.956947
78,c1c(C(Nc2cccc(C(c3cc(OC)c(OC)c(OC)c3)=O)c2)O)c(O)c(O)cc1,0.47643676,-30.81545
77,Oc1c(-c2cc(-c3ccccc3)nc(N3CCN(C)CC3)n2)cccc1,0.47618473,-19.931591
57,COc1ccc(C(c2ccc(OC)cc2)(c2cc(F)ccc2)OCCN2CCC2)c(OC)c1,0.4760956,-33.60978
19,C12(C)C(CC(=O)N(C)CC1)CCC1C2C(=O)c2c(oc(O)c2C)C1O,0.47606122,-34.995216
10,FC(F)(c1cc(-c2c(C(F)(F)F)cccc2)cc(N)c1)F,0.47557378,-25.871544
24,O=C1C=C(C2CCCCC2)S(=O)(=O)C2CC3NC(CC13)C2,0.47551566,-37.299187
9,c1c(-c2csc(=Nc3cccc(CCN4CCN(C)CC4)c3)[nH]2)cccn1,0.47450274,-23.497173
23,c1cccc2c1[nH]c(COc1cc(OC)cc(OC)c1)n2,0.47419766,-22.469154
62,C1C(F)CCN(C2CCC(n3cc(C(N)=O)c(=Nc4ccc(S(=O)(C)=O)cc4)[nH]3)(CC#N)CC2)C1,0.47410214,-27.544537
25,C1SCc2c(=Nc3cccc(C#C)c3)[nH]c3c(cccc3)c21,0.47391745,-29.377392
51,c1c(C)ccc(-c2nc(Br)ccn2)c1,0.47380343,-22.756754
60,C1CC1CN(CC(C)C)Cc1ccc(OCCN2CCCCC2)cc1,0.47377458,-26.915714
