smiles_1,smiles_2,label_1_proba,label_2_proba,label_1_binary,label_2_binary,compare_proba,compare_binary
O=C(NCCCCN1CCN(c2ccccc2OCCF)CC1)c1ccc(OCCOCCF)cc1,Oc1[nH]cc2cc(F)c(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc12,0.99999934,0.99999934,1,1,0.5022119,1
CCCN1CCC(c2ccccc2OC)CC1,Cc1[nH]c(C)c(S(=O)(=O)N2CCN(c3ccccc3F)CC2)c1C(=O)N1CCCCC1,0.7888929,0.7888929,0,0,0.6874614,1
CC(CCc1ccccc1)=NNC(=O)C1C2CCCCC21,COc1ccc2c(c1)SC1=NC(=O)C(c3c(C)cc(C)cc3C)C(=O)N12,0.0015687371,0.0015687371,0,0,0.499853,0
COc1cc(F)ccc1N1CCN(CC2CC2c2ccccc2)CC1,CCCN(CCCCN1CCN(c2cccc(Cl)c2Cl)CC1)C1CCc2ccc(O)cc2C1,0.9826905,0.9826905,1,1,0.49567276,0
CN1CCc2ccccc2Cc2ccc(O)c(Cl)c2CC1,Cc1ccc2nc(Nc3cccc(Cl)c3C)c(-n3nc(C)cc3C)nc2c1,0.9999998,0.9999998,0,0,0.7308039,1
Cc1ccc(C)c(OCc2cc(C(=O)N3CCC4CCCCC4C3)no2)c1,COc1ccc(Cl)cc1NC(=O)C1CCCO1,0.0027097166,0.0027097166,0,0,0.50065756,1
COc1ccccc1N1CCN(CCCn2cc(CCCCN3CCc4cc(O)c(O)cc4C(c4cccc(C)c4)C3)nn2)CC1,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1,0.98370576,0.98370576,1,1,0.622576,1
COc1ccc(NC(=O)NC2CCC(N3CCN(c4ccccc4OC(C)C)CC3)CC2)c(OC)c1,Cc1ccc2oc(C(=O)Nc3ccc(S(=O)(=O)N4CCCCC4C)cc3)cc(=O)c2c1,0.82135767,0.82135767,0,0,0.6944924,1
COc1ccccc1N1CCN(CCNC(=O)c2ccc(F)cc2)CC1,CCN(CCC(=O)Nc1ccc(Br)c(C)c1)Cc1ccccc1,0.71238184,0.71238184,0,0,0.67003363,1
CCCN(CCC)CC1COc2cccc(OC)c2C1,COc1ccc(NC(=O)C(NC(=O)C2Cc3ccccc3CN2)c2ccccc2)cc1,0.6738214,0.6738214,0,0,0.66212964,1
CC1=C(C#N)C(=O)N(CC(C)C)C(=O)C1,NC(Cc1ccccc1)C(=O)NC1C(=O)N(CC(=O)O)CC1CC(=O)O,0.0005414161,0.0005414161,1,1,0.49961942,0
C=CCN(c1ccc(C(=O)NCCc2ccccc2)cc1)S(C)(=O)=O,COc1cc2nc3c(O)n(N)c(O)nc-3c2cc1OC,0.0004788458,0.0004788458,0,0,0.49931994,0
O=C(NCC=CCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccncc1,O=S(=O)(N=C(Nc1ccc(F)cc1F)c1ccc(Cl)cc1)c1ccccc1,0.9999917,0.9999917,0,0,0.72905356,1
CCN(Cc1ccccc1)C(=O)c1cc2ccc3cccnc3c2[nH]1,Cc1nc(C)c(-c2nnc(SCCCN3CCC4(CCc5ccc(Cl)cc54)C3)n2C)s1,0.00087990327,0.00087990327,1,1,0.26911777,0
CN1CCN(c2nc3ccccc3c(Cl)c2Sc2ccccc2)CC1,CCCN1CCN2c3cccc4[nH]cc(c34)CC2C1,0.2040292,0.2040292,1,1,0.32648835,0
CCOc1ccccc1N1CCN(Cc2cccs2)CC1,CCN1CCCC1CNC(=O)c1c(C)c(Cl)cc(O)c1OC,0.066763416,0.066763416,1,1,0.2822693,0
CCCCCn1c(=O)c2c(nc3n2CCN3c2ccc(Br)cc2)n(C)c1=O,Cc1cccnc1CCNCc1c(C(=O)N2CC(C)OC(C)C2)nc2ccc(Cl)cn12,0.00084467826,0.00084467826,0,0,0.49853587,0
O=C(Nc1nccs1)C(c1ccccc1)N1CCCC1,OC1(c2ccc(Br)cc2)CCN(Cc2c[nH]c3ccc(OCCF)cc23)CC1,0.033499688,0.033499688,1,1,0.2762853,0
COc1cc(C(=O)NCCC(=O)N2CCC3(CC2)NCCc2[nH]cnc23)cc(OC)c1OC,O=C1CC(CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2nc(N3CCCC3)sc21,0.020187708,0.020187708,1,1,0.27373588,0
COc1cc(F)cc(N2CCN(CCCCNC(=O)c3ccc(-n4ccnc4)cc3)CC2)c1,CC1(C)Oc2c(cccc2N2CCN(CCCc3c[nH]c4ccccc34)CC2)NC1=O,0.978697,0.978697,1,1,0.4968508,0
CNC1CCc2c(cccc2OC)C1,O=C1CCc2ccc(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)nc2N1,0.77103776,0.77103776,1,1,0.44413966,0
CC1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(C(C)(C)C)cc2)CC1,COc1ccc(-c2noc(CC(=O)N(C)c3cc(Cl)c(OC)cc3OC)n2)cc1,0.26310396,0.26310396,0,0,0.5648489,1
COc1cccc(N2CCN(C(=O)c3cc(C)oc3C)CC2)c1,N#Cc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1,0.00030363767,0.00030363767,1,1,0.47189206,0
O=C(CCCN1CC2CC1CN2c1ccc(Cl)cc1)c1ccc(F)cc1,CC(C)Oc1ccccc1N1CCN(C2CCC(=N[SH](O)(O)=Cc3ccccc3)CC2)CC1,0.9946068,0.9946068,1,1,0.51728755,1
COc1ccc(Cl)cc1NC(=O)C1CCCO1,COc1ccc(OC)c(C=NNC(=O)CNC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,7.936165e-05,7.936165e-05,0,0,0.4996515,0
CCn1cc(CNC(=O)CC2C(=O)NCCN2CC(c2ccccc2)c2ccccc2)cn1,COc1ccc(OC)c(C=NNC(=O)CNC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)c1,0.0054350304,0.0054350304,0,0,0.50099045,1
C[SH](=O)(O)N=C1c2cccc3cccc(c23)C1N1CCOCC1,CN1CCc2cccc3c2C1Cc1ccc(OCCCNC(=O)CCCCCCCCCCCCC(=O)NCCCOc2ccc4c(c2O)-c2cccc5c2C(C4)N(C)CC5)c(O)c1-3,0.01433813,0.01433813,1,1,0.4963476,0
CN1CCc2cc(Cl)c(O)cc2C(c2ccccc2)C1,CC(=O)NCC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,0.9779502,0.9779502,1,1,0.5102172,1
O=C(O)c1ccc(CSc2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,CSc1ccccc1N1CCN(CCCCCC(=O)N2CCc3ccccc3C2)CC1,0.9999979,0.9999979,1,1,0.50000256,1
CN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,Nc1nc2cc3c(cc2s1)CCN(CC(F)(F)F)CC3,0.4799459,0.4799459,1,1,0.5576897,1
O=S(=O)(c1ccc(F)cc1)N1CCN(S(=O)(=O)c2cc(F)ccc2F)CC1,O=C1CC(CN2CCC(c3noc4cc(F)ccc34)CC2)Cc2nc(N3CCCC3)sc21,0.001576626,0.001576626,1,1,0.27005154,0
CC(=O)Oc1ccc(C(=O)Nc2cc(C)on2)cc1,CCCn1nc(C(=O)Nc2ccc(N3CCOCC3)cc2)c2ccccc2c1=O,0.00010771322,0.00010771322,0,0,0.49990764,0
CN1CCN2c3cccc4[nH]cc(c34)CC2C1,COc1ccc(-c2noc(CC(=O)N(C)c3cc(Cl)c(OC)cc3OC)n2)cc1,0.6340334,0.6340334,0,0,0.65289617,1
COc1ccc(S(=O)(=O)c2ccc(OC)c(OC)c2)cc1OC,Cc1cc2nc(C3CCCN(C(=O)NCc4ccccc4)C3)[nH]c2cc1C,0.0016117833,0.0016117833,0,0,0.49991482,0
COc1ccc(NC(=O)NC2CCC(N3CCN(c4ccccc4OC(C)C)CC3)CC2)c(OC)c1,CC1Cc2ccccc2N1C(=O)CN1CCN(Cc2ccc(C(C)(C)C)cc2)CC1,0.82135767,0.82135767,1,1,0.6360484,1
CC(=O)Nc1cc(F)ccc1C(=O)CCCN1CCC2C(C1)c1cccc3c1N2CCCS3,O=C(CSc1nc2ccccc2n1Cc1cccc(F)c1)N1CCN(c2ccc(F)cc2)CC1,0.99234915,0.99234915,0,0,0.72521985,1
Cc1ccc(CNC(=O)C2CCN(C(=O)c3cnn(-c4ccccc4)c3-n3cccc3)CC2)cc1,N#Cc1ccccc1N1CCN(CNC(=O)c2cccc(Cl)c2)CC1,0.0024590073,0.0024590073,1,1,0.47242922,0
O=C(Cc1ccccc1)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,CC1Cc2ccccc2N1C(=O)CN1CCN(Cc2cccc(F)c2)CC1,0.96335274,0.96335274,1,1,0.5593892,1
CCCN(CCC)CC1COc2cccc(OC)c2C1,O=C(NCC1CC1CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,0.6738214,0.6738214,1,1,0.41917312,0
