,smiles,score,likelihood
88,c1ccc(F)c(NC(=O)CN2CCN(C(=O)C3CCCN3S(=O)(c3ccc(OC)cc3)=O)CC2)c1F,0.6035987,-32.315277
105,N1(C)CCC(c2ccc(C(=O)NCc3c([N+](=O)[O-])c(C(F)(F)F)ccc3)cc2)CC1,0.5812369,-32.369896
58,C1C(CCn2c(C)cc(C)n2)CO1,0.5782025,-27.082144
105,C(C(NC(CSc1[nH]c2c(n1)cccc2)=O)c1n(C)ccc1)(C)C,0.57738936,-31.689114
79,c1ccsc1C=CC(c1cc(-c2ccc(F)cc2)c(N)c(C(c2ccccc2)=O)c1)=O,0.572672,-29.695896
88,c1(OC)c(C(C=Cc2ccc(OC)c(OC)c2OC)=O)c(O)c(Cl)c(OC)c1,0.5724256,-25.695015
108,C(C(=O)NC1(c2cc(Cl)c(Cl)cc2)CCC1)c1c2c(n(CCCCC)n1)cccc2,0.57032865,-38.06146
13,c1(C(=NC(C)C)N)nc(OCc2cccc(Oc3ccccc3)c2)[nH]c1,0.57000095,-31.751759
2,C(CC(=O)c1ccc(F)cc1)(C1CC1)=NOC(C)(C)C,0.568979,-32.792263
52,C(C)N(CC)C(c1ccc(C(=C2CC3N(Cc4cocc4)C(C2)CC3)c2ccccc2)cc1)=O,0.5677376,-22.464733
35,Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6nc(-c7cc(C)nn7C)oc6cc5CC4)n3C)cccc2n1,0.56678677,-39.36779
37,c12c(cccc1)SCc1c(C(N3CCOCC3)=O)nn(C)c1-2,0.565931,-20.221104
77,c1cc2cc(C=Cc3ccc(OC(F)(F)F)cc3)cnc2cc1,0.56542075,-23.1019
24,c1c(C(=O)C=Cc2c(OC)cc(OC)c(-c3c(-c4ccc(OC)cc4)cncn3)c2)ccc(OC)c1O,0.5642602,-33.1652
32,C1CN(CCCCCC(NC2CCCc3cc(OC)ccc32)=O)Cc2c1cccc2,0.563956,-23.226227
116,c1c(-c2cn(C)nc2)cc(C2(c3ccnc(CN4CCCCC4)c3)Oc3c(cccc3)N(C)C2=O)cc1,0.5624481,-37.567677
13,O=S(=O)(NC1CCC(N2CCC(c3ccccc3OCC(F)(F)F)CC2)CC1)c1ccc(OC(F)F)cc1,0.56202275,-28.909172
61,CC1(C)N(C)CCN(c2ccc(-c3c4c([nH]n3)-c3c(ccc(CN5CCN(C)CC5)c3)C4)cc2)C1,0.5595462,-30.227467
98,c1c(C(=O)CSc2nnc(COc3c(C)cccc3C)n2C)ccc(Cl)c1[N+](=O)[O-],0.55927694,-29.947578
28,c1c2c(ccc1)c(=O)c1c(=O)n(Cc3ccccc3)c(C)nc1n2C,0.5591356,-22.705002
